id,name,cb_cluster,player_role
-459798,C. Uche,3,Low-impact attacking midfielder
-367881,Unai Gómez,3,Low-impact attacking midfielder
-337667,J. King,3,Low-impact attacking midfielder
-337638,Rodrigo Mora,1,Goal-scoring attacking midfielder
-331684,Gustavo Sá,3,Low-impact attacking midfielder
-297535,E. Ben Seghir,1,Goal-scoring attacking midfielder
-289083,Fermín López,1,Goal-scoring attacking midfielder
-275071,P. Wanner,3,Low-impact attacking midfielder
-272248,K. Yıldız,2,Offensive playmaker
-272202,K. Doumbia,0,Box-to-box attacking midfielder
-208836,B. Nadir,1,Goal-scoring attacking midfielder
-206706,Pablo Torre,0,Box-to-box attacking midfielder
-205310,A. Garnacho,1,Goal-scoring attacking midfielder
-202111,C. Uzun,1,Goal-scoring attacking midfielder
-173644,H. Diarra,3,Low-impact attacking midfielder
-173413,K. Sulemana,3,Low-impact attacking midfielder
-172768,A. Ibrahimović,0,Box-to-box attacking midfielder
-172667,Mateus Fernandes,0,Box-to-box attacking midfielder
-167273,W. Swedberg,3,Low-impact attacking midfielder
-153619,J. Fazzini,0,Box-to-box attacking midfielder
-149532,H. Elliott,2,Offensive playmaker
-148300,G. Fabbian,3,Low-impact attacking midfielder
-147773,B. El Khannouss,2,Offensive playmaker
-145691,F. Lemaréchal,0,Box-to-box attacking midfielder
-141052,X. Simons,1,Goal-scoring attacking midfielder
-140754,Nico Paz,1,Goal-scoring attacking midfielder
-137291,M. Cho,1,Goal-scoring attacking midfielder
-134487,E. Dinkçi,0,Box-to-box attacking midfielder
-132399,J. Bellingham,0,Box-to-box attacking midfielder
-122158,L. Mouton,0,Box-to-box attacking midfielder
-118018,C. Chukwuemeka,0,Box-to-box attacking midfielder
-114712,J. Enciso,3,Low-impact attacking midfielder
-114514,H. Haraldsson,1,Goal-scoring attacking midfielder
-114158,Y. Kechta,0,Box-to-box attacking midfielder
-114086,Alberto Reina,0,Box-to-box attacking midfielder
-110127,Peque Fernández,3,Low-impact attacking midfielder
-105271,M. Soulé,2,Offensive playmaker
-99490,Pablo Gozálbez,0,Box-to-box attacking midfielder
-99068,Ansu Fati,3,Low-impact attacking midfielder
-97519,R. Cherki,2,Offensive playmaker
-94890,M. Röhl,3,Low-impact attacking midfielder
-94162,G. Rutter,3,Low-impact attacking midfielder
-92822,T. Almada,1,Goal-scoring attacking midfielder
-91950,F. Wirtz,2,Offensive playmaker
-85861,S. Diop,0,Box-to-box attacking midfielder
-85611,Rodrigo Zalazar,2,Offensive playmaker
-84521,T. Suslov,3,Low-impact attacking midfielder
-84162,J. Musiala,1,Goal-scoring attacking midfielder
-75767,Yéremy Pino,0,Box-to-box attacking midfielder
-72507,Jeong Woo-Yeong,1,Goal-scoring attacking midfielder
-67857,Cameron Puertas,0,Box-to-box attacking midfielder
-66123,C. Palmer,1,Goal-scoring attacking midfielder
-63809,P. Nebel,0,Box-to-box attacking midfielder
-59410,L. Samardžić,2,Offensive playmaker
-45021,M. Damsgaard,2,Offensive playmaker
-38752,K. Fujimoto,3,Low-impact attacking midfielder
4117,A. Sánchez,3,Low-impact attacking midfielder
61275,Pedro,1,Goal-scoring attacking midfielder
63261,N. Viola,1,Goal-scoring attacking midfielder
69323,S. El Shaarawy,2,Offensive playmaker
78532,K. De Bruyne,2,Offensive playmaker
83992,A. Kramarić,1,Goal-scoring attacking midfielder
85098,M. Götze,0,Box-to-box attacking midfielder
95810,J. Ayew,3,Low-impact attacking midfielder
95871,C. Eriksen,0,Box-to-box attacking midfielder
103164,Isco,2,Offensive playmaker
121289,M. Vecino,0,Box-to-box attacking midfielder
124939,M. van Ginkel,3,Low-impact attacking midfielder
161113,A. Pléa,1,Goal-scoring attacking midfielder
163602,A. Doucouré,3,Low-impact attacking midfielder
171941,K. Stöger,2,Offensive playmaker
180825,Lucas Piazón,3,Low-impact attacking midfielder
180836,F. Thauvin,2,Offensive playmaker
193117,T. Minamino,3,Low-impact attacking midfielder
196789,T. Savanier,2,Offensive playmaker
213651,S. Gnabry,1,Goal-scoring attacking midfielder
214895,Ivo Rodrigues,0,Box-to-box attacking midfielder
217771,R. Malinovskyi,1,Goal-scoring attacking midfielder
218894,Paulinho,1,Goal-scoring attacking midfielder
231415,T. Teuma,0,Box-to-box attacking midfielder
232025,F. Aursnes,0,Box-to-box attacking midfielder
235441,J. Brandt,1,Goal-scoring attacking midfielder
235484,W. Saïd,1,Goal-scoring attacking midfielder
242498,C. Tolisso,0,Box-to-box attacking midfielder
242768,A. Rabiot,0,Box-to-box attacking midfielder
249901,Carlinhos,1,Goal-scoring attacking midfielder
250530,A. Gudmundsson,3,Low-impact attacking midfielder
257104,João Mendes,1,Goal-scoring attacking midfielder
270492,Rafael Barbosa,0,Box-to-box attacking midfielder
270648,M. Thorsby,3,Low-impact attacking midfielder
275149,Andreas Pereira,1,Goal-scoring attacking midfielder
286562,Ricardo Horta,3,Low-impact attacking midfielder
294439,A. Januzaj,2,Offensive playmaker
314124,Javi Muñoz,0,Box-to-box attacking midfielder
314202,Jon Guridi,3,Low-impact attacking midfielder
315832,L. Bénes,0,Box-to-box attacking midfielder
318353,N. Vlašić,3,Low-impact attacking midfielder
319301,D. van de Beek,3,Low-impact attacking midfielder
320586,Marco Asensio,3,Low-impact attacking midfielder
329932,S. Conteh,3,Low-impact attacking midfielder
331232,Lee Jae-Sung,0,Box-to-box attacking midfielder
334526,Bruno Costa,3,Low-impact attacking midfielder
335467,E. Buendía,3,Low-impact attacking midfielder
339273,L. Pellegrini,1,Goal-scoring attacking midfielder
344907,G. Hein,1,Goal-scoring attacking midfielder
358723,A. Beck,0,Box-to-box attacking midfielder
359823,F. Neuhaus,2,Offensive playmaker
367009,L. Blas,1,Goal-scoring attacking midfielder
376599,N. Tella,3,Low-impact attacking midfielder
376697,M. Mount,0,Box-to-box attacking midfielder
377463,M. Svanberg,0,Box-to-box attacking midfielder
381095,D. de Wit,0,Box-to-box attacking midfielder
391229,C. Chaplin,3,Low-impact attacking midfielder
392369,G. Lo Celso,2,Offensive playmaker
393726,Isi Palazón,1,Goal-scoring attacking midfielder
395366,Dani Olmo,1,Goal-scoring attacking midfielder
399148,Pedro Díaz,3,Low-impact attacking midfielder
399769,T. Koopmeiners,0,Box-to-box attacking midfielder
404347,Carlos Soler,0,Box-to-box attacking midfielder
420678,A. Nordin,3,Low-impact attacking midfielder
421643,J. Odgaard,3,Low-impact attacking midfielder
424336,M. Munetsi,3,Low-impact attacking midfielder
426578,J. Kluivert,1,Goal-scoring attacking midfielder
