id,name,cb_cluster,player_role
-680280,S. Chounkwi Fogning,0,Ball-stealing CB
-660568,T. Tati,3,Low-impact CB
-524863,A. Faye,1,Ball-playing CB
-471601,Tiago Gabriel,2,Aerial dominant CB
-460265,Juanma Herzog,2,Aerial dominant CB
-429316,Juma Bah,0,Ball-stealing CB
-423636,Vitor Reis,2,Aerial dominant CB
-418103,K. Peprah Oppong,3,Low-impact CB
-400450,E. Biumla,3,Low-impact CB
-397003,A. Coulibaly,1,Ball-playing CB
-391700,Javi Rodríguez,1,Ball-playing CB
-368971,Yoel Lago,3,Low-impact CB
-364673,M. Bombito,1,Ball-playing CB
-359446,Jacobo Ramón,2,Aerial dominant CB
-356907,N. Mendy,0,Ball-stealing CB
-344141,Jon Martín,2,Aerial dominant CB
-336426,J. Canvot,3,Low-impact CB
-335590,J. Acheampong,3,Low-impact CB
-334923,T. Yegbe,3,Low-impact CB
-327224,Carlos Domínguez,1,Ball-playing CB
-325652,V. Gómez,2,Aerial dominant CB
-321026,S. Mouriño,0,Ball-stealing CB
-319893,O. Diomandé,1,Ball-playing CB
-317726,M. Moreno,3,Low-impact CB
-314047,Y. Mouanga,3,Low-impact CB
-307122,I. Rodríguez,0,Ball-stealing CB
-303133,H. Ahanor,0,Ball-stealing CB
-300039,Raúl Asencio,3,Low-impact CB
-294961,N. Banks,0,Ball-stealing CB
-291434,C. Mawissa,0,Ball-stealing CB
-290632,Dean Huijsen,1,Ball-playing CB
-286639,Pau Cubarsí,1,Ball-playing CB
-282164,Yarek Gasiorowski,3,Low-impact CB
-282142,L. Yoro,3,Low-impact CB
-282134,N. Zézé,3,Low-impact CB
-282133,M. Sarr,3,Low-impact CB
-281467,F. Jeltsch,3,Low-impact CB
-279789,A. Gray,3,Low-impact CB
-276068,J. Jacquet,0,Ball-stealing CB
-267375,O. Camara,0,Ball-stealing CB
-264293,S. Goglichidze,0,Ball-stealing CB
-260574,L. Vušković,2,Aerial dominant CB
-258531,A. Mendy,0,Ball-stealing CB
-256197,T. Muharemović,0,Ball-stealing CB
-255793,N. Valentini,0,Ball-stealing CB
-246246,L. Jaquez,1,Ball-playing CB
-245907,M. Ivezić,0,Ball-stealing CB
-237193,David Torres,3,Low-impact CB
-233315,Kike Salas,0,Ball-stealing CB
-218325,S. Saatçı,1,Ball-playing CB
-216281,Kialonda Gaspar,2,Aerial dominant CB
-211463,L. Querfeld,2,Aerial dominant CB
-210721,W. Kambwala,3,Low-impact CB
-209679,A. Marcandalli,2,Aerial dominant CB
-201874,Renato Veiga,3,Low-impact CB
-199780,C. Cresswell,2,Aerial dominant CB
-196559,B. Meïté,3,Low-impact CB
-196343,G. Jean,2,Aerial dominant CB
-194704,I. Doukouré,3,Low-impact CB
-176772,A. Circati,0,Ball-stealing CB
-176079,Lucas Beraldo,1,Ball-playing CB
-171065,J. Diaz,3,Low-impact CB
-168717,E. Bitshiabu,1,Ball-playing CB
-168091,A. Khusanov,3,Low-impact CB
-166481,R. Kluivert,3,Low-impact CB
-166376,César Tárrega,2,Aerial dominant CB
-165379,Alemão,0,Ball-stealing CB
-161508,Gonçalo Inácio,1,Ball-playing CB
-161394,C. Devenish,3,Low-impact CB
-159310,F. Chiarodia,0,Ball-stealing CB
-157316,A. Ntoi,0,Ball-stealing CB
-156910,F. Gatti,3,Low-impact CB
-153930,F. Terracciano,0,Ball-stealing CB
-151915,D. Coppola,2,Aerial dominant CB
-151567,J. Schingtienne,0,Ball-stealing CB
-151385,N. Ngoy,3,Low-impact CB
-150650,Z. Debast,1,Ball-playing CB
-149808,G. Scalvini,1,Ball-playing CB
-149263,A. Rouault,1,Ball-playing CB
-149205,K. Koulierakis,1,Ball-playing CB
-148144,D. Yongwa,1,Ball-playing CB
-147433,N. Bertola,0,Ball-stealing CB
-147428,P. Comuzzo,0,Ball-stealing CB
-145866,K. Boma,2,Aerial dominant CB
-145466,S. Diomandé,0,Ball-stealing CB
-145001,M. Viti,2,Aerial dominant CB
-144286,G. Leoni,3,Low-impact CB
-142219,L. Hogsberg,3,Low-impact CB
