id,name,cb_cluster,player_role
-582081,A. Kouassi,2,Attacking full-back
-539151,A. Touré,0,Low-impact full-back
-450272,H. Sekine,0,Low-impact full-back
-426692,Gonçalo Almeida,0,Low-impact full-back
-417326,E. Diouf,2,Attacking full-back
-365484,Pedro Carvalho,2,Attacking full-back
-359073,Augusto Dabó,0,Low-impact full-back
-358013,Pedro Gomes,0,Low-impact full-back
-356344,Pau Navarro,3,Defensive full-back
-314045,J. Ekomié,3,Defensive full-back
-311099,L. Leroux,1,Goal-scoring full-back
-303106,N. Sangui,0,Low-impact full-back
-299378,Iván Fresneda,1,Goal-scoring full-back
-294583,K. Nedeljković,0,Low-impact full-back
-291429,S. Kumbedi,3,Defensive full-back
-291057,Adama Boiro,0,Low-impact full-back
-289273,Martim Fernandes,2,Attacking full-back
-283092,A. Aznou,3,Defensive full-back
-283088,Héctor Fort,3,Defensive full-back
-282149,Álex Jiménez,3,Defensive full-back
-275950,A. Hainaut,3,Defensive full-back
-258641,M. Lewis-Skelly,0,Low-impact full-back
-257571,Hugo Rincón,0,Low-impact full-back
-256146,Álvaro Carreras,1,Goal-scoring full-back
-248503,N. O'Reilly,1,Goal-scoring full-back
-245743,J. Hinshelwood,1,Goal-scoring full-back
-245184,Alberto Costa,2,Attacking full-back
-232520,M. Nagida,1,Goal-scoring full-back
-230615,J. Tchatchoua,0,Low-impact full-back
-220092,V. Kristiansen,3,Defensive full-back
-212780,M. Kayode,0,Low-impact full-back
-209422,O. El Hilali,3,Defensive full-back
-200048,L. Ullrich,0,Low-impact full-back
-198160,Pedro Malheiro,0,Low-impact full-back
-196292,J. Makengo,0,Low-impact full-back
-196290,P. Joly,3,Defensive full-back
-196239,B. Locko,2,Attacking full-back
-191393,Arnau Martínez,0,Low-impact full-back
-176333,Arthur,0,Low-impact full-back
-175089,J. Doig,3,Defensive full-back
-173157,R. Lewis,0,Low-impact full-back
-170807,M. Kerkez,2,Attacking full-back
-169696,Yusi,0,Low-impact full-back
-167257,T. Louchet,3,Defensive full-back
-166875,K. Sildillia,1,Goal-scoring full-back
-163287,Paulo Victor,3,Defensive full-back
-162948,A. Zehnter,0,Low-impact full-back
-161456,Guga,1,Goal-scoring full-back
-161301,Maga,0,Low-impact full-back
-161121,D. Jurásek,2,Attacking full-back
-156651,Gerard Martín,2,Attacking full-back
-153688,B. Norton-Cuffy,0,Low-impact full-back
-152163,Dinis Pinto,3,Defensive full-back
-150590,Alejandro Francés,3,Defensive full-back
-146117,C. Bradley,3,Defensive full-back
-145902,Alejandro Balde,2,Attacking full-back
-142208,A. Truffert,2,Attacking full-back
-141631,J. Hill,3,Defensive full-back
-140629,Álex Valle,3,Defensive full-back
-139972,N. Savona,0,Low-impact full-back
-139787,L. Raolisoa,2,Attacking full-back
-139115,Juanlu Sánchez,1,Goal-scoring full-back
-138158,J. Mutombo,0,Low-impact full-back
-136606,João Mendes,3,Defensive full-back
-135805,Q. Hartman,2,Attacking full-back
-135617,L. Hall,2,Attacking full-back
-135074,N. Brown,2,Attacking full-back
-134678,M. Rosenfelder,0,Low-impact full-back
-134492,P. Dorgu,3,Defensive full-back
-134027,Rodrigo Pinheiro,3,Defensive full-back
-134000,L. Santos,2,Attacking full-back
-133531,G. Doué,3,Defensive full-back
-133195,José Ángel Carmona,3,Defensive full-back
-133193,Danilo Veiga,3,Defensive full-back
-130858,Nuno Mendes,2,Attacking full-back
-129577,V. Gendrey,3,Defensive full-back
-128921,Vanderson,3,Defensive full-back
-126680,Víctor Parada,0,Low-impact full-back
-125943,M. Diarra,0,Low-impact full-back
-121184,Adrià Altimira,0,Low-impact full-back
-120771,S. Boey,0,Low-impact full-back
-119278,D. Udogie,3,Defensive full-back
-118638,Jon Aramburu,3,Defensive full-back
-118571,Mika Mármol,3,Defensive full-back
-118294,Abel Bretones,0,Low-impact full-back
-111468,K. Lewis-Potter,0,Low-impact full-back
-111345,Calegari,0,Low-impact full-back
-109497,João Tomé,3,Defensive full-back
-109459,Leonardo Buta,3,Defensive full-back
-108653,J. O'Brien,0,Low-impact full-back
-108337,Carlos Romero,3,Defensive full-back
-107809,B. Onyemaechi,1,Goal-scoring full-back
-107548,J. Zemura,0,Low-impact full-back
-107190,L. Davis,0,Low-impact full-back
-105259,M. Ruggeri,2,Attacking full-back
-103643,Matheus Nunes,1,Goal-scoring full-back
-103615,M. Wieffer,3,Defensive full-back
-103406,Rafael Rodrigues,3,Defensive full-back
-101833,E. Tchato,2,Attacking full-back
-101425,E. Holm,3,Defensive full-back
-101131,M. Gusto,2,Attacking full-back
-100362,Manu Sánchez,3,Defensive full-back
-100084,R. Alhassane,0,Low-impact full-back
-99460,Jesús Vázquez,0,Low-impact full-back
-98571,Nathan,0,Low-impact full-back
-95449,Talys,3,Defensive full-back
-94677,Pep Chavarría,3,Defensive full-back
-93466,F. Oppegård,0,Low-impact full-back
-93395,T. Hume,0,Low-impact full-back
-89463,A. Danté,0,Low-impact full-back
-84514,A. Obert,3,Defensive full-back
-82982,J. Gvardiol,3,Defensive full-back
-78184,I. Smolčić,3,Defensive full-back
-75771,Javi López,3,Defensive full-back
-73935,Nelson Abbey,3,Defensive full-back
-73307,T. Pembélé,1,Goal-scoring full-back
-73281,Tomás Tavares,3,Defensive full-back
-72864,Igor Formiga,3,Defensive full-back
-72372,W. Fofana,0,Low-impact full-back
-71066,Pastor,3,Defensive full-back
-67915,Abner,0,Low-impact full-back
-67910,Matheus Pereira,2,Attacking full-back
-66864,Álvaro Núñez,2,Attacking full-back
-66215,Garcia,2,Attacking full-back
-66199,I. Maatsen,2,Attacking full-back
-66197,K. Hoever,2,Attacking full-back
-66068,Pedro Porro,2,Attacking full-back
-65628,Sergi Cardona,2,Attacking full-back
-65216,I. Van der Brempt,0,Low-impact full-back
-63194,L. Stergiou,1,Goal-scoring full-back
-63190,R. Calafiori,1,Goal-scoring full-back
-61123,L. Netz,2,Attacking full-back
-60479,T. Livramento,0,Low-impact full-back
-60273,A. Appiah,0,Low-impact full-back
-55976,Tiago Araújo,2,Attacking full-back
-55973,Sandro Cruz,3,Defensive full-back
-55294,A. Rațiu,2,Attacking full-back
-51484,Marvin Park,3,Defensive full-back
-51254,Costinha,3,Defensive full-back
-49465,Lucas Rosa,3,Defensive full-back
-47165,K. Fischer,3,Defensive full-back
-46735,A. Gallo,3,Defensive full-back
-37620,A. Cambiaso,2,Attacking full-back
2553,A. Young,2,Attacking full-back
4059,L. De Silvestri,0,Low-impact full-back
44285,A. Nyom,0,Low-impact full-back
58948,Kiko Femenía,0,Low-impact full-back
68532,K. Walker,0,Low-impact full-back
68886,D. Blind,2,Attacking full-back
69348,Óscar De Marcos,2,Attacking full-back
75843,Yuri Berchiche,3,Defensive full-back
88146,A. Smith,0,Low-impact full-back
88291,L. Nego,2,Attacking full-back
89845,Ismaily,3,Defensive full-back
94078,T. Meunier,2,Attacking full-back
95797,R. Rodríguez,0,Low-impact full-back
97354,K. Trippier,2,Attacking full-back
100878,A. Mandi,0,Low-impact full-back
102599,N. Tagliafico,3,Defensive full-back
102878,J. Veltman,3,Defensive full-back
125799,L. Kübler,1,Goal-scoring full-back
126553,S. Lainer,3,Defensive full-back
132279,P. Kadeřábek,1,Goal-scoring full-back
137674,M. Colin,0,Low-impact full-back
138198,L. Digne,2,Attacking full-back
139538,F. Hanin,3,Defensive full-back
139779,K. Lala,2,Attacking full-back
146637,D. Appiah,3,Defensive full-back
155954,E. Hysaj,2,Attacking full-back
158411,M. De Sciglio,1,Goal-scoring full-back
158893,V. Coufal,3,Defensive full-back
160594,M. Haïdara,3,Defensive full-back
163518,Raphaël Guerreiro,1,Goal-scoring full-back
165998,C. Biraghi,2,Attacking full-back
166173,Juan Cruz,0,Low-impact full-back
171186,Wendell,1,Goal-scoring full-back
173784,J. Mojica,2,Attacking full-back
175301,D. Foulquier,0,Low-impact full-back
180822,Emerson Palmieri,0,Low-impact full-back
180984,L. Spinazzola,2,Attacking full-back
182732,J. Toljan,2,Attacking full-back
183733,Y. Sabaly,0,Low-impact full-back
190754,I. Balliu,0,Low-impact full-back
192013,G. Di Lorenzo,0,Low-impact full-back
192742,Alberto Moreno,0,Low-impact full-back
204842,Juan Bernat,0,Low-impact full-back
205231,Talocha,3,Defensive full-back
205807,Lucas Vázquez,0,Low-impact full-back
209858,João Reis,3,Defensive full-back
211935,S. Sabelli,2,Attacking full-back
212489,I. Sylla,1,Goal-scoring full-back
214391,C. Lykogiannis,2,Attacking full-back
214874,Rafa Soares,2,Attacking full-back
215546,K. Tete,3,Defensive full-back
217652,Álex Moreno,0,Low-impact full-back
217658,Brian Oliván,2,Attacking full-back
218283,Jonny Otto,3,Defensive full-back
226228,F. Guilbert,3,Defensive full-back
228139,José Gayá,2,Attacking full-back
235942,Héctor Bellerín,2,Attacking full-back
238788,Diego Rico,3,Defensive full-back
250039,C. Günter,0,Low-impact full-back
250319,C. Arcus,0,Low-impact full-back
254527,A. Robertson,2,Attacking full-back
255788,M. Busch,2,Attacking full-back
256773,H. Traoré,3,Defensive full-back
256802,T. Augello,2,Attacking full-back
257120,Bruno Gaspar,2,Attacking full-back
257920,M. Lazzari,2,Attacking full-back
259329,G. Holtmann,1,Goal-scoring full-back
259482,M. Wittek,3,Defensive full-back
262315,A. Marušić,0,Low-impact full-back
263173,Íñigo Lekue,3,Defensive full-back
268336,Á. Muñoz,3,Defensive full-back
274798,O. Aina,0,Low-impact full-back
275836,O. Zinchenko,0,Low-impact full-back
281504,Djené,0,Low-impact full-back
284595,J. Föhrenbach,2,Attacking full-back
288483,R. Manning,0,Low-impact full-back
289810,D. Calabria,2,Attacking full-back
292078,Pablo Maffeo,3,Defensive full-back
293697,Kiki,0,Low-impact full-back
297445,T. Castagne,3,Defensive full-back
298956,Reinildo,0,Low-impact full-back
314119,Marcos Llorente,2,Attacking full-back
314191,Andoni Gorosabel,3,Defensive full-back
314311,L. Hernández,0,Low-impact full-back
314521,A. Maitland-Niles,2,Attacking full-back
316431,Aarón Martín,2,Attacking full-back
316755,S. Posch,3,Defensive full-back
316760,K. Laimer,1,Goal-scoring full-back
318344,Aurélio Buta,0,Low-impact full-back
319878,Adrián Marín,2,Attacking full-back
320252,F. Ballo-Touré,0,Low-impact full-back
320617,D. Machado,2,Attacking full-back
326260,Pacha,3,Defensive full-back
334253,R. Perraud,1,Goal-scoring full-back
334592,G. Suazo,2,Attacking full-back
334799,Nacho Vidal,0,Low-impact full-back
335184,L. Cook,0,Low-impact full-back
335237,Pedro Amaral,0,Low-impact full-back
335376,Toni Lato,3,Defensive full-back
341751,U. Garcia,1,Goal-scoring full-back
344099,M. Coco,3,Defensive full-back
347247,K. Ajer,3,Defensive full-back
351581,Derick Poloni,3,Defensive full-back
355445,M. Vojvoda,2,Attacking full-back
356437,José Gomes,1,Goal-scoring full-back
359295,M. Mittelstädt,2,Attacking full-back
366407,Tiago Esgaio,3,Defensive full-back
372317,K. Tsimikas,0,Low-impact full-back
372363,Álvaro Tejero,2,Attacking full-back
372541,T. Hernández,0,Low-impact full-back
372743,Marc Cucurella,1,Goal-scoring full-back
372947,Fernando Fonseca,3,Defensive full-back
376875,T. Alexander-Arnold,2,Attacking full-back
382051,Luis Pérez,0,Low-impact full-back
383419,B. Chilwell,0,Low-impact full-back
387421,K. Amian,0,Low-impact full-back
393102,P. Estupiñán,3,Defensive full-back
393188,L. Pétrot,3,Defensive full-back
393279,Aitor Ruibal,1,Goal-scoring full-back
394220,Alfonso Pedraza,2,Attacking full-back
394462,C. Borja,2,Attacking full-back
397869,F. Valverde,0,Low-impact full-back
400932,D. Raum,2,Attacking full-back
406775,M. Olivera,3,Defensive full-back
407751,Sergio Akieme,0,Low-impact full-back
409164,A. Robinson,2,Attacking full-back
413277,A. Disasi,0,Low-impact full-back
414504,R. Baku,2,Attacking full-back
414642,O. Traorè,2,Attacking full-back
416188,Juan Iglesias,3,Defensive full-back
416709,V. Rosier,3,Defensive full-back
419254,A. Hakimi,1,Goal-scoring full-back
419721,L. Pellegrini,2,Attacking full-back
419785,T. De Smet,0,Low-impact full-back
420198,A. Tuanzebe,0,Low-impact full-back
420527,M. Vrousai,3,Defensive full-back
421629,M. Roerslev,0,Low-impact full-back
422148,M. Seck,3,Defensive full-back
423940,R. Kristensen,1,Goal-scoring full-back
423986,S. Van der Heyden,1,Goal-scoring full-back
425059,K. Walker-Peters,0,Low-impact full-back
426577,F. Kadıoğlu,0,Low-impact full-back
426583,J. Teze,0,Low-impact full-back
427943,V. Mykolenko,3,Defensive full-back
429372,Javi Galán,3,Defensive full-back
430809,J. Koundé,1,Goal-scoring full-back
431215,J. Justin,3,Defensive full-back
432521,N. Molina,2,Attacking full-back
433527,O. Kakay,0,Low-impact full-back
435960,G. Mensah,3,Defensive full-back
437218,G. Gudmundsson,1,Goal-scoring full-back
437878,M. Cash,1,Goal-scoring full-back
439039,Fran García,2,Attacking full-back
440099,Thierry Correia,3,Defensive full-back
440862,J. Beste,0,Low-impact full-back
440992,R. Sessegnon,1,Goal-scoring full-back
441396,A. Davies,2,Attacking full-back
443910,T. Sainte-Luce,3,Defensive full-back
445556,Adrià Pedrosa,3,Defensive full-back
446373,Viti Rozada,3,Defensive full-back
449126,J. Maehle,2,Attacking full-back
450859,Caio Henrique,2,Attacking full-back
452343,B. White,2,Attacking full-back
453104,J. Frimpong,1,Goal-scoring full-back
453252,R. James,1,Goal-scoring full-back
453857,D. Spence,3,Defensive full-back
453865,B. Johnson,1,Goal-scoring full-back
453891,J. Bogle,2,Attacking full-back
454794,A. Bah,3,Defensive full-back
456084,S. Chergui,0,Low-impact full-back
459370,N. Williams,3,Defensive full-back
459436,Javi Hernández,0,Low-impact full-back
459567,T. Lamptey,1,Goal-scoring full-back
460023,T. Weah,1,Goal-scoring full-back
460326,G. Frimpong,2,Attacking full-back
460521,Mateu Morey,3,Defensive full-back
461131,Juan Miranda,2,Attacking full-back
464313,Emerson Royal,3,Defensive full-back
464754,O. Richards,3,Defensive full-back
464790,N. Cozza,0,Low-impact full-back
467662,A. Candela,0,Low-impact full-back
467812,N. Tenaglia,3,Defensive full-back
470717,A. Wan-Bissaka,3,Defensive full-back
471650,K. Kouao,0,Low-impact full-back
471770,L. Thomas,3,Defensive full-back
472270,Martín Aguirregabiria,2,Attacking full-back
473006,Alex Pinto,2,Attacking full-back
473481,J. Timber,1,Goal-scoring full-back
475114,Kazu,0,Low-impact full-back
475265,Weverson,0,Low-impact full-back
476968,K. Diatta,2,Attacking full-back
477410,Víctor Gómez,2,Attacking full-back
477415,S. Walukiewicz,0,Low-impact full-back
479395,Y. Sugawara,2,Attacking full-back
481646,J. Vagnoman,0,Low-impact full-back
481791,W. Coulibaly,0,Low-impact full-back
489006,Fabiano,3,Defensive full-back
491340,Francisco Moura,2,Attacking full-back
493234,O. Lebedenko,1,Goal-scoring full-back
494553,J. Stanišić,2,Attacking full-back
494562,Jesús Areso,2,Attacking full-back
495073,E. Valeri,2,Attacking full-back
497193,J. Scally,3,Defensive full-back
497993,Y. Zouaoui,2,Attacking full-back
499018,Zé Carlos,3,Defensive full-back
505465,Aihen Muñoz,3,Defensive full-back
505967,Nuno Tavares,2,Attacking full-back
506359,João Mário,2,Attacking full-back
508728,A. Prass,3,Defensive full-back
508909,R. Hendriks,3,Defensive full-back
508968,G. Zappa,2,Attacking full-back
509352,Miguel Gutiérrez,0,Low-impact full-back
509528,Tomás Silva,3,Defensive full-back
517641,Germán Valera,2,Attacking full-back
