id,name,cb_cluster,player_role
-437705,M. Meïté,3,Goal scoring forward
-409388,P. Peter,3,Goal scoring forward
-390732,T. Bazoumana,2,Creative forward
-362603,I. Ansah,3,Goal scoring forward
-343246,S. Chérif,1,Pressing forward
-342786,G. Orban,0,Target man
-338722,Adrián Liso,1,Pressing forward
-329890,J. Panichelli,3,Goal scoring forward
-327414,Samu Omorodion,3,Goal scoring forward
-301738,Dailon Livramento,1,Pressing forward
-301438,Álvaro Rodríguez,0,Target man
-298415,O. Diakité,1,Pressing forward
-297573,G. Ilenikhena,3,Goal scoring forward
-297087,Vitor Roque,1,Pressing forward
-296651,F. Camarda,0,Target man
-291037,Pablo Durán,1,Pressing forward
-289543,S. Amo-Ameyaw,1,Pressing forward
-278748,M. Moerstedt,0,Target man
-278263,M. Kömür,1,Pressing forward
-275494,H. Meister,0,Target man
-272114,T. Noslin,0,Target man
-257528,Roberto Fernández,0,Target man
-257478,Mateo Joseph,1,Pressing forward
-256928,Giovane,2,Creative forward
-256253,A. Véliz,0,Target man
-244906,M. Pellegrino,0,Target man
-241809,D. Nandín,3,Goal scoring forward
-226594,Diego García,0,Target man
-225451,Maroan Sannadi,0,Target man
-220333,M. Amoura,1,Pressing forward
-220090,John Patrick,1,Pressing forward
-216730,João Costa,1,Pressing forward
-210695,A. Bonny,1,Pressing forward
-206890,Max Svensson,1,Pressing forward
-201924,Pablo Felipe,3,Goal scoring forward
-201688,André Lacximicant,1,Pressing forward
-199920,N. Weiper,0,Target man
-198285,A. El Ouazzani,0,Target man
-195963,T. Barry,0,Target man
-194351,S. Elisor,3,Goal scoring forward
-193833,M. Tel,1,Pressing forward
-188639,N. Štulić,0,Target man
-183249,E. Eyong,3,Goal scoring forward
-182396,N. Jackson,0,Target man
-176092,Isaac,0,Target man
-175628,L. Stassin,3,Goal scoring forward
-170884,E. Emegha,3,Goal scoring forward
-170017,Isaac Romero,1,Pressing forward
-168398,Clayton,3,Goal scoring forward
-166923,M. Bamba,0,Target man
-165601,Rômulo,0,Target man
-161009,Luís Asué,1,Pressing forward
-159456,Rodrigo Ribeiro,0,Target man
-159338,Iker Bravo,1,Pressing forward
-159217,Emersonn,0,Target man
-158515,S. Castro,0,Target man
-151015,J. Ekhator,1,Pressing forward
-145184,T. Baldanzi,1,Pressing forward
-144597,S. Mara,0,Target man
-142213,C. Harder,2,Creative forward
-139011,Henrique Araújo,3,Goal scoring forward
-138413,Jorge Aguirre,0,Target man
-137908,H. Ekitiké,2,Creative forward
-133653,A. Adli,1,Pressing forward
-133544,M. Abline,2,Creative forward
-133202,Iván Romero,3,Goal scoring forward
-132137,J. Njinmah,1,Pressing forward
-131096,E. Ferguson,0,Target man
-125804,Raul García,0,Target man
-122144,Igor Thiago,3,Goal scoring forward
-122010,O. Óskarsson,0,Target man
-118682,E. Wahi,0,Target man
-115653,V. Boniface,0,Target man
-114340,João Pedro,2,Creative forward
-112896,Gustavo Silva,3,Goal scoring forward
-112736,Cauê,0,Target man
-107117,V. Vanat,3,Goal scoring forward
-105011,B. Šeško,3,Goal scoring forward
-104897,V. Sejk,0,Target man
-103407,Tiago Tomás,1,Pressing forward
-99594,L. Beltrán,0,Target man
-99311,E. Millot,1,Pressing forward
-98668,G. Oristanio,1,Pressing forward
-97535,E. Lepaul,3,Goal scoring forward
-96879,A. Sarr,0,Target man
-95597,P. Harres,3,Goal scoring forward
-95538,Beto,0,Target man
-95304,L. Delap,0,Target man
-94058,D. Mosquera,0,Target man
-93960,R. Højlund,0,Target man
-92801,F. Asllani,3,Goal scoring forward
-91873,A. Sieb,2,Creative forward
-90702,M. Pieringer,0,Target man
-89922,Zito Luvumbo,1,Pressing forward
-80800,S. Machino,3,Goal scoring forward
-80203,F. Viñas,1,Pressing forward
-79967,M. Beier,3,Goal scoring forward
-79247,P. Šulc,3,Goal scoring forward
-77965,G. Mikautadze,2,Creative forward
-76963,L. Lucca,0,Target man
-76627,Y. Begraoui,3,Goal scoring forward
-76327,L. Colombo,1,Pressing forward
-73951,A. Adams,0,Target man
-73927,M. Biereth,3,Goal scoring forward
-73470,M. Broschinski,1,Pressing forward
-73362,Juanmi Latasa,0,Target man
-73316,A. Kalimuendo,3,Goal scoring forward
-73303,D. Maldini,2,Creative forward
-73053,André Silva,3,Goal scoring forward
-69018,R. Nteka,1,Pressing forward
-67705,Felippe Cardoso,3,Goal scoring forward
-66319,M. Retegui,3,Goal scoring forward
-65794,T. Lemperle,1,Pressing forward
-65642,Alejandro Marqués,3,Goal scoring forward
-65351,J. Álvarez,2,Creative forward
-64699,Gonçalo Ramos,0,Target man
-63610,S. Esposito,1,Pressing forward
-63466,N. Woltemade,3,Goal scoring forward
-59233,J. Thielmann,1,Pressing forward
-57487,C. De Ketelaere,2,Creative forward
-55394,G. Borrelli,3,Goal scoring forward
-53994,R. Piccoli,0,Target man
-50849,Rodrigo Muniz,3,Goal scoring forward
-49496,Evanilson,0,Target man
-49044,A. Ilić,0,Target man
-48250,R. Königsdörffer,0,Target man
8986,Nenê,0,Target man
20572,A. Ayew,0,Target man
20902,M. Djurić,0,Target man
21018,M. Arnautović,3,Goal scoring forward
21091,C. Stuani,3,Goal scoring forward
36544,A. Budimir,0,Target man
37644,P. Aubameyang,2,Creative forward
38215,T. Müller,2,Creative forward
41310,R. Lewandowski,3,Goal scoring forward
42492,C. Gytkjær,0,Target man
53886,D. Welbeck,3,Goal scoring forward
58710,S. Rondón,0,Target man
59504,O. Giroud,0,Target man
62164,Kike García,0,Target man
72168,Cassiano,3,Goal scoring forward
73474,W. Khazri,1,Pressing forward
73612,M. Antonio,1,Pressing forward
76918,C. Wood,0,Target man
79495,R. Lukaku,0,Target man
87653,A. Lacazette,3,Goal scoring forward
89009,C. Wilson,3,Goal scoring forward
91566,A. Delort,0,Target man
92385,A. Griezmann,2,Creative forward
93432,J. King,1,Pressing forward
103171,Álvaro Morata,0,Target man
109730,Zé Luís,0,Target man
111768,Juanmi,1,Pressing forward
115130,Nélson Oliveira,0,Target man
126393,M. Gregoritsch,0,Target man
129859,A. Diaby,1,Pressing forward
136141,C. Bakambu,3,Goal scoring forward
144844,Tomané,0,Target man
145636,Dani Rodríguez,1,Pressing forward
158575,H. Kane,3,Goal scoring forward
158651,S. Skrzybski,1,Pressing forward
159732,J. Vardy,0,Target man
160201,J. Pohjanpalo,0,Target man
163741,M. Taremi,0,Target man
166369,N. Füllkrug,0,Target man
175962,M. Samatta,0,Target man
179938,Gerard Moreno,2,Creative forward
180518,G. Caprari,1,Pressing forward
182725,M. Ducksch,2,Creative forward
182886,B. Zivzivadze,1,Pressing forward
182902,G. Laborde,2,Creative forward
199445,P. Hofmann,0,Target man
201072,P. Dybala,2,Creative forward
207207,Portu,1,Pressing forward
209521,R. Jiménez,0,Target man
214897,André Silva,0,Target man
215570,C. Akpom,0,Target man
218038,A. Sørloth,3,Goal scoring forward
228719,A. Belotti,0,Target man
236228,J. Cádiz,3,Goal scoring forward
236674,J. Tagueu,0,Target man
245171,J. Correa,2,Creative forward
254988,Rafa Silva,2,Creative forward
260205,Ahmed Hassan,0,Target man
260733,A. Sanabria,0,Target man
262405,T. Kleindienst,3,Goal scoring forward
262852,Ayoze Pérez,2,Creative forward
263185,N. Maupay,0,Target man
263399,J. Boga,2,Creative forward
264466,L. Ajorque,0,Target man
268808,P. Schick,3,Goal scoring forward
270357,Gonçalo Guedes,1,Pressing forward
271788,H. Tabaković,3,Goal scoring forward
273833,F. Bonazzoli,3,Goal scoring forward
279065,P. Onuachu,0,Target man
282185,V. Muriqi,0,Target man
282889,C. Ekuban,0,Target man
283151,M. Sylla,0,Target man
289061,K. Baldé,1,Pressing forward
289690,Mario González,0,Target man
289780,A. Fulgini,2,Creative forward
293150,Guilherme Schettine,0,Target man
296914,S. Guirassy,3,Goal scoring forward
299514,Héctor Hernández,0,Target man
301156,Borja Iglesias,3,Goal scoring forward
303036,G. Simeone,1,Pressing forward
305021,L. Höler,1,Pressing forward
305755,S. Moreo,1,Pressing forward
309850,Samu,1,Pressing forward
312839,Munir El Haddadi,3,Goal scoring forward
314076,Hildeberto Pereira,0,Target man
314474,B. Embolo,3,Goal scoring forward
319132,T. Awoniyi,0,Target man
320030,Y. Wissa,3,Goal scoring forward
320112,O. Dembélé,2,Creative forward
320280,A. Armstrong,0,Target man
320283,D. Solanke,0,Target man
322039,O. McBurnie,0,Target man
324260,J. Siebatcheu,0,Target man
324453,Toni Martínez,0,Target man
326320,D. Calvert-Lewin,0,Target man
327428,H. Diallo,0,Target man
328055,Rodrigo Pinho,0,Target man
330852,M. Nzola,0,Target man
331388,J. Bowen,2,Creative forward
334174,O. Watkins,0,Target man
334250,M. Thuram,2,Creative forward
334731,E. Shomurodov,0,Target man
342717,C. Larin,3,Goal scoring forward
351879,L. Boyé,1,Pressing forward
352481,A. Dovbyk,3,Goal scoring forward
362649,Mikel Merino,1,Pressing forward
362983,Cristo González,2,Creative forward
363147,G. Masouras,1,Pressing forward
365233,S. Banza,0,Target man
372195,I. Cardona,1,Pressing forward
372447,Borja Mayoral,3,Goal scoring forward
372657,Gorka Guruzeta,0,Target man
372977,T. Abraham,0,Target man
376371,O. Burke,3,Goal scoring forward
376605,E. Nketiah,2,Creative forward
376909,C. Nkunku,0,Target man
376913,S. Essende,0,Target man
376915,O. Édouard,3,Goal scoring forward
377149,K. Mbappé,2,Creative forward
379089,V. Pavlidis,3,Goal scoring forward
382807,Hwang Hee-Chan,1,Pressing forward
383985,U. Sadiq,3,Goal scoring forward
384563,P. Cutrone,0,Target man
386977,E. Demirović,3,Goal scoring forward
387389,L. Nmecha,3,Goal scoring forward
388551,P. Tietz,0,Target man
390123,C. Adams,0,Target man
390151,Mikel Oyarzabal,0,Target man
394436,J. Krasso,0,Target man
395193,J. Mateta,3,Goal scoring forward
396093,J. Eggestein,0,Target man
398451,Rafa Mir,0,Target man
399644,M. Pereira Lage,1,Pressing forward
399771,D. Malen,3,Goal scoring forward
402218,C. Hernández,3,Goal scoring forward
403237,D. Undav,3,Goal scoring forward
403294,Fran Navarro,3,Goal scoring forward
404462,L. Martínez,2,Creative forward
405920,P. Daka,1,Pressing forward
407737,Richarlison,3,Goal scoring forward
409561,T. Skarke,1,Pressing forward
410028,C. Kouamé,0,Target man
411065,D. Sinani,1,Pressing forward
412273,J. Ramírez,0,Target man
413136,V. Gyökeres,2,Creative forward
413835,C. Pulišić,2,Creative forward
415585,L. Bailey,1,Pressing forward
416985,M. Grüll,1,Pressing forward
418611,Rui Costa,0,Target man
419539,A. Danjuma,2,Creative forward
420221,M. Rashford,2,Creative forward
420666,Ferrán Torres,3,Goal scoring forward
421636,J. Wind,0,Target man
421673,G. Yalcin,0,Target man
422165,A. Isak,3,Goal scoring forward
423644,Darío Poveda,3,Goal scoring forward
426569,A. Pinamonti,0,Target man
427921,Abel Ruiz,3,Goal scoring forward
428612,A. Lookman,2,Creative forward
429830,M. Kean,0,Target man
431275,Dani Raba,2,Creative forward
433986,Alisson Safira,0,Target man
434409,K. Davis,0,Target man
436316,D. Vlahović,0,Target man
436482,Rafa Mújica,3,Goal scoring forward
438313,Lucas Paquetà,1,Pressing forward
439051,L. Openda,0,Target man
440864,K. Havertz,3,Goal scoring forward
441484,E. Haaland,3,Goal scoring forward
441622,Dany Mota,0,Target man
441807,R. Boženík,0,Target man
442556,L. Díaz,2,Creative forward
443318,N. Krstović,0,Target man
444223,G. Hirst,0,Target man
446971,Bruno Duarte,3,Goal scoring forward
447098,R. Kolo Muani,3,Goal scoring forward
447152,Y. Njie,1,Pressing forward
447235,M. Tramoni,1,Pressing forward
448844,B. Pichler,0,Target man
453085,F. Balogun,3,Goal scoring forward
453841,D. Namaso,1,Pressing forward
454613,Mousa Al Tamari,2,Creative forward
454747,A. Gouiri,2,Creative forward
458246,M. Guilavogui,1,Pressing forward
458658,M. Boadu,3,Goal scoring forward
460071,C. Ngonge,1,Pressing forward
461807,J. Strand Larsen,3,Goal scoring forward
462163,F. Magri,0,Target man
462665,C. Tengstedt,0,Target man
467679,G. Raspadori,3,Goal scoring forward
470718,Mostafa Mohamed,0,Target man
471102,N. Zaniolo,1,Pressing forward
