id,name,cb_cluster,player_role
-282143,G. Restes,3,Overrated ball-playing GK
-217233,M. Penders,2,Elite GK
-176331,Kauã Santos,0,Low-performing GK
-167526,O. Nkambadio,0,Low-performing GK
-154442,R. Risser,2,Elite GK
-150625,R. Roefs,1,Ball-playing GK
-140082,Kaique,1,Ball-playing GK
-136986,B. Verbruggen,3,Overrated ball-playing GK
-133993,João Gonçalves,1,Ball-playing GK
-112506,Luiz Júnior,1,Ball-playing GK
-107980,Julen Agirrezabala,1,Ball-playing GK
-106558,F. Stanković,1,Ball-playing GK
-104881,L. Horníček,2,Elite GK
-100773,M. Backhaus,1,Ball-playing GK
-96207,L. Chevalier,3,Overrated ball-playing GK
-94863,J. Urbig,0,Low-performing GK
-93399,F. Jörgensen,3,Overrated ball-playing GK
-81280,Andrew,3,Overrated ball-playing GK
-73038,E. Caprile,1,Ball-playing GK
-71565,Joan García,1,Ball-playing GK
-65215,S. Lammens,1,Ball-playing GK
-63948,A. Kinský,1,Ball-playing GK
-62079,N. Atubolu,0,Low-performing GK
-60798,R. Sava,3,Overrated ball-playing GK
-44624,J. Fischer,0,Low-performing GK
-44294,D. Ramaj,0,Low-performing GK
318,Pepe Reina,3,Overrated ball-playing GK
413,G. Ochoa,3,Overrated ball-playing GK
725,Ł. Fabiański,1,Ball-playing GK
1970,M. Neuer,2,Elite GK
5259,F. Forster,3,Overrated ball-playing GK
8570,L. Hrádecký,3,Overrated ball-playing GK
11341,Y. Sommer,2,Elite GK
13106,S. Mandanda,3,Overrated ball-playing GK
29349,Ø. Nyland,3,Overrated ball-playing GK
35439,M. Dúbravka,1,Ball-playing GK
47011,T. Vaclík,3,Overrated ball-playing GK
54482,O. Baumann,0,Low-performing GK
55435,K. Trapp,3,Overrated ball-playing GK
59421,P. Gulácsi,1,Ball-playing GK
60036,Adrián,3,Overrated ball-playing GK
61954,David de Gea,1,Ball-playing GK
62123,Antonio Adán,3,Overrated ball-playing GK
62971,Vicente Guaita,3,Overrated ball-playing GK
67190,Ł. Skorupski,2,Elite GK
77294,T. Courtois,3,Overrated ball-playing GK
85786,J. Oblak,3,Overrated ball-playing GK
89739,M. Sels,1,Ball-playing GK
95180,M. Silvestri,0,Low-performing GK
95877,Joel Robles,3,Overrated ball-playing GK
102525,M. ter Stegen,3,Overrated ball-playing GK
102533,B. Leno,1,Ball-playing GK
102587,E. Martínez,2,Elite GK
102643,Alisson,3,Overrated ball-playing GK
110170,A. Lopes,1,Ball-playing GK
111439,Marcelo Carné,1,Ball-playing GK
122351,M. Dituro,2,Elite GK
131659,M. Ryan,1,Ball-playing GK
134058,M. Bizot,3,Overrated ball-playing GK
134344,M. Dmitrović,1,Ball-playing GK
136652,K. Müller,0,Low-performing GK
137206,J. Cillessen,1,Ball-playing GK
138003,A. Aréola,1,Ball-playing GK
140896,B. Lecomte,0,Low-performing GK
141582,T. Horn,0,Low-performing GK
147759,N. Leali,1,Ball-playing GK
149866,M. Gorgelin,1,Ball-playing GK
152109,G. Rulli,3,Overrated ball-playing GK
152598,S. Ortega,3,Overrated ball-playing GK
154056,A. Schwolow,0,Low-performing GK
158351,F. Rønnow,1,Ball-playing GK
158640,D. Léon,1,Ball-playing GK
159864,O. Vlachodimos,1,Ball-playing GK
160179,M. Diaw,3,Overrated ball-playing GK
160405,J. Pickford,2,Elite GK
161787,Bruno Varela,3,Overrated ball-playing GK
171503,Jhonatan,1,Ball-playing GK
171924,Bruno Brígido,3,Overrated ball-playing GK
182815,Y. Mvogo,0,Low-performing GK
191560,B. Samba,3,Overrated ball-playing GK
193101,K. Nakamura,3,Overrated ball-playing GK
193533,T. Dähne,1,Ball-playing GK
194197,P. Carlgren,1,Ball-playing GK
196266,S. Johnstone,0,Low-performing GK
197635,César Bernardo,1,Ball-playing GK
199612,P. Gazzaniga,1,Ball-playing GK
200705,Kepa Arrizabalaga,1,Ball-playing GK
200950,Daniel Heuer Fernandes,2,Elite GK
206804,Ederson,2,Elite GK
213654,M. Schwäbe,2,Elite GK
215632,M. Maignan,2,Elite GK
217741,C. Walton,0,Low-performing GK
217994,P. Drewes,0,Low-performing GK
220636,N. Pope,1,Ball-playing GK
239000,Matheus,1,Ball-playing GK
251509,M. Flekken,2,Elite GK
252494,Rui Silva,3,Overrated ball-playing GK
256252,R. Zentner,1,Ball-playing GK
257644,José Sá,3,Overrated ball-playing GK
258396,L. Montipò,3,Overrated ball-playing GK
259781,M. Zetterer,2,Elite GK
261393,W. Falcone,1,Ball-playing GK
262003,A. Desmas,3,Overrated ball-playing GK
262395,Sergio Herrera,1,Ball-playing GK
263155,J. Butez,2,Elite GK
263177,Álex Remiro,3,Overrated ball-playing GK
270469,João Costa,3,Overrated ball-playing GK
280411,Pau López,3,Overrated ball-playing GK
282888,I. Provedel,2,Elite GK
285381,Simão,1,Ball-playing GK
289808,E. Audero,2,Elite GK
289906,A. Batalla,1,Ball-playing GK
292645,N. Vasilj,2,Elite GK
301856,Kewin,1,Ball-playing GK
313007,David Soria,1,Ball-playing GK
314063,André Ferreira,0,Low-performing GK
315805,I. Zlobin,1,Ball-playing GK
317299,V. Milinković-Savić,2,Elite GK
317323,D. Henderson,1,Ball-playing GK
318078,Antonio Sivera,1,Ball-playing GK
319830,A. Meret,2,Elite GK
320906,A. Sherri,3,Overrated ball-playing GK
324437,Aarón Escandell,1,Ball-playing GK
330279,David Raya,2,Elite GK
338189,G. Vicario,1,Ball-playing GK
338433,M. Nicolas,2,Elite GK
340409,G. Kobel,2,Elite GK
343417,G. Larsonneur,1,Ball-playing GK
348361,A. Nübel,2,Elite GK
349933,J. Omlin,0,Low-performing GK
359707,F. Müller,0,Low-performing GK
372247,M. Svilar,2,Elite GK
372465,A. Onana,3,Overrated ball-playing GK
372587,Unai Simón,1,Ball-playing GK
372683,Diego Conde,3,Overrated ball-playing GK
375147,C. Kelleher,3,Overrated ball-playing GK
376289,K. Haug,3,Overrated ball-playing GK
377255,Diogo Costa,2,Elite GK
384539,G. Donnarumma,3,Overrated ball-playing GK
386291,L. Carević,1,Ball-playing GK
386599,A. Šemper,1,Ball-playing GK
388577,F. Dahmen,2,Elite GK
394320,Lucas Perri,1,Ball-playing GK
395239,I. de Arruabarrena,3,Overrated ball-playing GK
396038,Álvaro Valles,3,Overrated ball-playing GK
396595,A. Bayındır,0,Low-performing GK
