id,name,cb_cluster,player_role
-599352,M. Bamba,1,Box-to-box midfielder
-558501,R. Nzingoula,0,Ball-winning midfielder
-533901,Amadou Koné,0,Ball-winning midfielder
-472023,S. El Mourabet,1,Box-to-box midfielder
-451256,Mikel Jauregizar,0,Ball-winning midfielder
-437516,A. Bouaddi,0,Ball-winning midfielder
-403670,A. Avom,1,Box-to-box midfielder
-391695,Fer López,3,Scoring midfielder
-375433,Manuel Keliano,0,Ball-winning midfielder
-359192,D. Soumaré,0,Ball-winning midfielder
-359101,Joel Silva,0,Ball-winning midfielder
-349759,L. Camara,2,Deep-lying playmaking midfielder
-330468,E. Akinsanmiro,0,Ball-winning midfielder
-320943,M. Perrone,1,Box-to-box midfielder
-319699,D. Gómez,3,Scoring midfielder
-312405,N. Mukau,0,Ball-winning midfielder
-311093,D. Assoumani,0,Ball-winning midfielder
-295867,A. Vermeeren,0,Ball-winning midfielder
-292258,L. Bergvall,0,Ball-winning midfielder
-289441,E. Tıknaz,1,Box-to-box midfielder
-289350,Pablo Barrios,1,Box-to-box midfielder
-284771,A. Ouédraogo,3,Scoring midfielder
-283762,Chuki,3,Scoring midfielder
-282443,Rodrigo Mendoza,3,Scoring midfielder
-280032,L. Miley,0,Ball-winning midfielder
-279657,I. Koné,3,Scoring midfielder
-277498,B. Dárdai,0,Ball-winning midfielder
-277225,M. Diawara,0,Ball-winning midfielder
-277019,S. Mayulu,3,Scoring midfielder
-275756,J. James,0,Ball-winning midfielder
-272757,Zé Carlos,0,Ball-winning midfielder
-272134,K. Danois,1,Box-to-box midfielder
-270987,D. Doué,3,Scoring midfielder
-269123,M. Kaba,0,Ball-winning midfielder
-267412,N. El Aynaoui,3,Scoring midfielder
-265197,João Neves,3,Scoring midfielder
-262889,J. Manzambi,3,Scoring midfielder
-260631,Javi Guerra,1,Box-to-box midfielder
-259505,A. Richardson,0,Ball-winning midfielder
-259061,Hugo Sotelo,2,Deep-lying playmaking midfielder
-252929,S. Bajčetić,1,Box-to-box midfielder
-250625,M. Prati,1,Box-to-box midfielder
-245857,T. Fukui,0,Ball-winning midfielder
-244984,A. Scott,0,Ball-winning midfielder
-241586,G. Gineitis,3,Scoring midfielder
-232542,C. Baleba,0,Ball-winning midfielder
-225823,Pablo Marín,0,Ball-winning midfielder
-225630,Jon Gorrotxategi,0,Ball-winning midfielder
-219492,Sergi Altimira,1,Box-to-box midfielder
-212606,P. Sučić,3,Scoring midfielder
-211992,F. Cáseres,1,Box-to-box midfielder
-211342,A. Varela,1,Box-to-box midfielder
-209204,Damián Rodríguez,2,Deep-lying playmaking midfielder
-208840,R. Belahyane,0,Ball-winning midfielder
-207302,Santi García,3,Scoring midfielder
-207278,M. Berisha,3,Scoring midfielder
-206829,Pablo Ibáñez,0,Ball-winning midfielder
-205311,K. Mainoo,0,Ball-winning midfielder
-204706,T. Nikitscher,0,Ball-winning midfielder
-202066,T. Bischof,3,Scoring midfielder
-200096,A. Pavlović,2,Deep-lying playmaking midfielder
-199473,L. Kerber,0,Ball-winning midfielder
-197822,P. Ekwah,1,Box-to-box midfielder
-197081,M. Sangaré,0,Ball-winning midfielder
-196617,Urko González,0,Ball-winning midfielder
-196312,Iyad Mohamed,0,Ball-winning midfielder
-195938,S. Magassa,1,Box-to-box midfielder
-195917,M. Coulibaly,1,Box-to-box midfielder
-193887,B. Bouchouari,1,Box-to-box midfielder
-191362,Matheus Dias,1,Box-to-box midfielder
-190722,Y. Ayari,3,Scoring midfielder
-177994,J. Gorby,1,Box-to-box midfielder
-176367,Igor Jesus,0,Ball-winning midfielder
-172219,W. Zaire-Emery,2,Deep-lying playmaking midfielder
-171089,M. De Amorim,0,Ball-winning midfielder
-170962,L. Ugochukwu,0,Ball-winning midfielder
-170959,D. Cissé,1,Box-to-box midfielder
-170354,F. Chaïbi,3,Scoring midfielder
-169254,A. Wharton,2,Deep-lying playmaking midfielder
-167786,L. Bogarde,0,Ball-winning midfielder
-161547,Gavi,3,Scoring midfielder
-160175,Iker Muñoz,0,Ball-winning midfielder
-159466,N. Sadiki,0,Ball-winning midfielder
-159446,Dário Essugo,0,Ball-winning midfielder
-159215,Andrey Santos,3,Scoring midfielder
-158286,J. Solís,0,Ball-winning midfielder
-156427,A. Atta,0,Ball-winning midfielder
-156277,V. Atangana,0,Ball-winning midfielder
-155100,I. Doumbia,0,Ball-winning midfielder
-153369,M. Gbane,1,Box-to-box midfielder
-153186,W. Bondo,0,Ball-winning midfielder
-152301,K. Urbański,0,Ball-winning midfielder
-151573,M. Keita,0,Ball-winning midfielder
-148700,E. Barrenechea,1,Box-to-box midfielder
-147849,C. Ndour,0,Ball-winning midfielder
-146441,Gustavo Mendonça,0,Ball-winning midfielder
-146404,Marc Casadó,1,Box-to-box midfielder
-146116,T. Morton,1,Box-to-box midfielder
-145873,Y. Belkhdim,0,Ball-winning midfielder
-145682,J. Mwanga,3,Scoring midfielder
-144580,J. Fujita,1,Box-to-box midfielder
-143375,T. Segovia,1,Box-to-box midfielder
-140730,Mario Martín,0,Ball-winning midfielder
-140408,H. Larsson,1,Box-to-box midfielder
