id,name,cb_cluster,player_role
-695150,Y. Diomande,0,Dribbler winger
-528796,Jesús Rodríguez,0,Dribbler winger
-498757,T. Akinsola,2,Defensive winger
-406254,T. Touré,2,Defensive winger
-373384,F. Mastantuono,2,Defensive winger
-368872,Y. Minteh,2,Defensive winger
-351535,Coba da Costa,0,Dribbler winger
-331365,Assane Diao,2,Defensive winger
-330125,E. Nuamah,2,Defensive winger
-323015,J. Devenny,2,Defensive winger
-322171,F. Buonanotte,2,Defensive winger
-311101,H. Guirassy,2,Defensive winger
-307863,B. Domínguez,2,Defensive winger
-307670,A. Joujou,0,Dribbler winger
-294732,J. Bahoya,2,Defensive winger
-292560,M. Fernandez-Pardo,3,Goal-scoring winger
-283099,Lamine Yamal,0,Dribbler winger
-282172,Joel Roca,0,Dribbler winger
-278430,Gabri Martínez,0,Dribbler winger
-272085,E. Saad,2,Defensive winger
-267609,Roger,2,Defensive winger
-256667,A. Nusa,0,Dribbler winger
-250526,Kaio César,2,Defensive winger
-236222,M. Belloumi,2,Defensive winger
-235322,G. Simeone,2,Defensive winger
-235305,Antoniu Roca,2,Defensive winger
-220938,Y. Asprilla,0,Dribbler winger
-216501,A. Güler,3,Goal-scoring winger
-211604,Dango Ouattara,2,Defensive winger
-207272,Bryan Zaragoza,0,Dribbler winger
-206710,A. Rebbach,2,Defensive winger
-206347,Léo Scienza,0,Dribbler winger
-205174,M. Diakhon,0,Dribbler winger
-198159,Tiago Morais,2,Defensive winger
-195712,T. Dolan,0,Dribbler winger
-186586,A. Sima,1,Low-impact winger
-179028,A. Fadera,2,Defensive winger
-176084,Savinho,0,Dribbler winger
-174651,C. Talbi,1,Low-impact winger
-173600,Ramón Terrats,2,Defensive winger
-171308,O. Hutchinson,2,Defensive winger
-169184,Nico Williams,0,Dribbler winger
-168722,Ismael Gharbi,2,Defensive winger
-166573,M. Fofana,3,Goal-scoring winger
-165000,André Luiz,0,Dribbler winger
-162809,Alberto Moleiro,1,Low-impact winger
-161654,Pedro Santos,1,Low-impact winger
-161640,Hélio Varela,0,Dribbler winger
-161633,João Marques,2,Defensive winger
-161270,Telmo Arcanjo,3,Goal-scoring winger
-161024,Fábio Ronaldo,2,Defensive winger
-160590,C. Alcaraz,1,Low-impact winger
-158509,V. Barco,2,Defensive winger
-157613,A. Ezzalzouli,0,Dribbler winger
-152432,I. Soumaré,2,Defensive winger
-150672,S. Mbangula,2,Defensive winger
-149162,Diego López,1,Low-impact winger
-145898,B. Barcola,3,Goal-scoring winger
-145149,B. Gruda,3,Goal-scoring winger
-144782,K. Fayad,2,Defensive winger
-140898,B. Bouanani,1,Low-impact winger
-139267,A. Daghim,2,Defensive winger
-139117,Carlos Álvarez,3,Goal-scoring winger
-139032,E. Poku,3,Goal-scoring winger
-137904,F. Doucouré,3,Goal-scoring winger
-137286,J. Gittens,0,Dribbler winger
-136617,Chiquinho,2,Defensive winger
-134230,O. Bobb,2,Defensive winger
-133542,A. Diouf,2,Defensive winger
-133085,M. Akliouche,3,Goal-scoring winger
-131591,P. Wimmer,2,Defensive winger
-129450,J. Anthony,1,Low-impact winger
-129260,Z. Amdouni,2,Defensive winger
-123679,J. Rowe,0,Dribbler winger
-123635,Carlos Martín,2,Defensive winger
-123625,F. Miretti,2,Defensive winger
-122227,S. Pierotti,2,Defensive winger
-121255,J. Philogene,2,Defensive winger
-119900,Óscar Aranda,0,Dribbler winger
-119899,Raúl Moro,0,Dribbler winger
-117684,I. N'Dri,0,Dribbler winger
-115827,M. Cancellieri,2,Defensive winger
-115686,Jofre Carreras,2,Defensive winger
-110580,Ander Barrenetxea,0,Dribbler winger
-109769,Sorriso,2,Defensive winger
-109461,Francisco Conceicão,0,Dribbler winger
-108788,O. Sahraoui,3,Goal-scoring winger
-107740,Théo Fonseca,1,Low-impact winger
-107640,Vitinha,2,Defensive winger
-107637,Álvaro Djaló,1,Low-impact winger
-107116,J. Antonisse,2,Defensive winger
-105825,N. Ngoumou,1,Low-impact winger
-104345,H. Hassan,0,Dribbler winger
-103345,Vasco Lopes,0,Dribbler winger
-101439,I. Ndiaye,2,Defensive winger
-101130,L. Tchaouna,1,Low-impact winger
-100079,Vando Félix,2,Defensive winger
-99942,D. Karim,1,Low-impact winger
-99484,Fran Pérez,2,Defensive winger
-98654,M. Felici,2,Defensive winger
-97713,J. Casimir,1,Low-impact winger
-97598,E. Guessand,2,Defensive winger
-94713,Igor Paixão,0,Dribbler winger
-93559,K. McAteer,1,Low-impact winger
-92012,A. Knauff,3,Goal-scoring winger
-90963,J. Clarke,2,Defensive winger
-89342,Antonio Sánchez,1,Low-impact winger
