id,name,cb_cluster,player_role
-528290,D. Methalie,1,Defensive wing-back
-428092,Fabrício Garcia,3,Low-impact wing-back
-390859,Geovany Quenda,2,Attacking wing-back
-331144,K. Ouattara,2,Attacking wing-back
-301542,Hugo Álvarez,0,Goal-scoring wing-back
-291745,S. Britschgi,3,Low-impact wing-back
-279741,O. Scarles,1,Defensive wing-back
-264548,Wesley,0,Goal-scoring wing-back
-262446,N. Veratschnig,3,Low-impact wing-back
-242452,R. Belghali,1,Defensive wing-back
-205180,G. Ouattara,3,Low-impact wing-back
-204981,H. Koudossou,1,Defensive wing-back
-200489,T. Rothe,1,Defensive wing-back
-191890,W. Kamanzi,1,Defensive wing-back
-172681,Diogo Travassos,1,Defensive wing-back
-170365,R. Messali,1,Defensive wing-back
-161715,L. Assignon,2,Attacking wing-back
-161584,Wagner Pina,1,Defensive wing-back
-159455,Diego Moreira,2,Attacking wing-back
-156469,S. Angori,1,Defensive wing-back
-150693,D. Svensson,3,Low-impact wing-back
-148385,M. Palestra,3,Low-impact wing-back
-146671,D. Bartesaghi,3,Low-impact wing-back
-143462,S. Sebulonsen,3,Low-impact wing-back
-142430,M. Lövik,3,Low-impact wing-back
-141710,T. Le Bris,0,Goal-scoring wing-back
-138648,Hugo Bueno,1,Defensive wing-back
-136930,Nilton Varela,1,Defensive wing-back
-133617,Q. Merlin,2,Attacking wing-back
-123224,Geny Catamo,0,Goal-scoring wing-back
-119381,D. Rensch,1,Defensive wing-back
-117137,T. Buchanan,0,Goal-scoring wing-back
-115940,F. Krätzig,3,Low-impact wing-back
-109650,Luis Henrique,2,Attacking wing-back
-109501,Guilherme Montóia,3,Low-impact wing-back
-109498,Rodrigo Gomes,0,Goal-scoring wing-back
-98203,A. Diallo,0,Goal-scoring wing-back
-94167,Leonardo Lelo,3,Low-impact wing-back
-93776,L. Oppie,3,Low-impact wing-back
-92568,L. Rosenboom,1,Defensive wing-back
-82034,M. Pedersen,3,Low-impact wing-back
-79589,R. Aït-Nouri,1,Defensive wing-back
-77889,N. Zalewski,2,Attacking wing-back
-77886,J. Kamiński,0,Goal-scoring wing-back
-77058,M. Araújo,1,Defensive wing-back
-64348,Yan Couto,2,Attacking wing-back
-63463,F. Parisi,1,Defensive wing-back
-60307,K. Lund,3,Low-impact wing-back
-57451,M. Ellertsson,3,Low-impact wing-back
-47397,A. Zanoli,3,Low-impact wing-back
17720,M. Darmian,3,Low-impact wing-back
45612,D. Lazović,0,Goal-scoring wing-back
61414,J. Cuadrado,1,Defensive wing-back
76661,C. Trimmel,2,Attacking wing-back
159812,P. Mwene,3,Low-impact wing-back
159866,M. Weiser,2,Attacking wing-back
169495,J. Clauss,2,Attacking wing-back
196103,F. Zampano,3,Low-impact wing-back
196109,S. Widmer,3,Low-impact wing-back
202360,André Geraldes,3,Low-impact wing-back
204771,R. Aguilar,1,Defensive wing-back
205625,D. Zappacosta,2,Attacking wing-back
206636,Álex Grimaldo,2,Attacking wing-back
223160,A. Abdi,0,Goal-scoring wing-back
249743,H. Kamara,2,Attacking wing-back
251685,R. Haps,3,Low-impact wing-back
257122,Nélson Semedo,1,Defensive wing-back
259490,M. Wolf,2,Attacking wing-back
268926,M. Saliakas,2,Attacking wing-back
273832,F. Dimarco,2,Attacking wing-back
274908,D. Giannoulis,2,Attacking wing-back
275334,P. Frankowski,2,Attacking wing-back
296804,R. Skov,2,Attacking wing-back
308326,G. Kyriakopoulos,2,Attacking wing-back
314031,Angeliño,3,Low-impact wing-back
314078,Nuno Santos,2,Attacking wing-back
315357,F. Porath,1,Defensive wing-back
318347,B. Sosa,1,Defensive wing-back
320199,M. Udol,1,Defensive wing-back
322459,M. Ristić,3,Low-impact wing-back
327174,R. Gosens,1,Defensive wing-back
332745,E. Gyasi,3,Low-impact wing-back
335401,D. Dumfries,0,Goal-scoring wing-back
374813,Ricardo Mangas,3,Low-impact wing-back
376409,F. Passlack,2,Attacking wing-back
376489,K. Ehizibue,3,Low-impact wing-back
376727,M. Muheim,2,Attacking wing-back
381105,N. Mazraoui,1,Defensive wing-back
396624,J. Juranović,2,Attacking wing-back
396685,I. Touré,1,Defensive wing-back
400243,Diogo Dalot,3,Low-impact wing-back
410286,J. Ryerson,2,Attacking wing-back
413884,R. Fellhauer,3,Low-impact wing-back
415580,G. Pezzella,2,Attacking wing-back
420348,Calila,1,Defensive wing-back
425511,Dodô,2,Attacking wing-back
426559,R. Bellanova,2,Attacking wing-back
427440,A. Caci,2,Attacking wing-back
447217,Gaizka Larrazabal,3,Low-impact wing-back
453559,D. Köhn,3,Low-impact wing-back
454296,F. Agu,1,Defensive wing-back
454740,M. Léris,1,Defensive wing-back
460017,Óscar Mingueza,2,Attacking wing-back
460638,Gonçalo Costa,0,Goal-scoring wing-back
462566,A. Saelemaekers,0,Goal-scoring wing-back
465264,S. Birindelli,0,Goal-scoring wing-back
469590,S. Thomas,2,Attacking wing-back
473311,A. Dønnum,1,Defensive wing-back
473447,D. Muñoz,1,Defensive wing-back
485313,A. Zerbin,1,Defensive wing-back
490581,Rui Modesto,1,Defensive wing-back
493480,P. Treu,3,Low-impact wing-back
493739,M. Bard,1,Defensive wing-back
501744,D. Bradarić,3,Low-impact wing-back
504208,Lucas Soares,1,Defensive wing-back
506440,T. Mitchell,1,Defensive wing-back
509388,G. Gocholeishvili,3,Low-impact wing-back
511692,J. Tolkin,1,Defensive wing-back
516934,Sergio Carreira,2,Attacking wing-back
