id,age,market_value,total_matches,primary_position_percent,secondary_position_percent,third_position_percent,height,weight,goals,goals_avg,non_penalty_goal,non_penalty_goal_avg,head_goals,head_goals_avg,shots,shots_avg,shots_on_target_percent,goal_conversion_percent,xg_shot,xg_shot_avg,touch_in_box_avg,assists,assists_avg,xg_assist,xg_assist_avg,key_passes_avg,shot_assists_avg,pre_assist_avg,pre_pre_assist_avg,passes_avg,accurate_passes_percent,forward_passes_avg,successful_forward_passes_percent,back_passes_avg,successful_back_passes_percent,vertical_passes_avg,successful_vertical_passes_percent,short_medium_pass_avg,accurate_short_medium_pass_percent,long_passes_avg,successful_long_passes_percent,average_pass_length,average_long_pass_length,deep_completed_pass_avg,deep_completed_cross_avg,pass_to_penalty_area_avg,accurate_pass_to_penalty_area_percent,passes_to_final_third_avg,accurate_passes_to_final_third_percent,through_passes_avg,successful_through_passes_percent,smart_passes_avg,accurate_smart_passes_percent,crosses_avg,accurate_crosses_percent,cross_from_left_avg,successful_cross_from_left_percent,cross_from_right_avg,successful_cross_from_right_percent,cross_to_goalie_box_avg,dribbles_avg,successful_dribbles_percent,accelerations_avg,progressive_run_avg,duels_avg,duels_won,offensive_duels_avg,offensive_duels_won,defensive_duels_avg,defensive_duels_won,aerial_duels_avg,aerial_duels_won,successful_defensive_actions_avg,tackle_avg,possession_adjusted_tackle,interceptions_avg,possession_adjusted_interceptions,shot_block_avg,fouls_avg,foul_suffered_avg,yellow_cards,yellow_cards_avg,red_cards,red_cards_avg,progressive_pass_avg,successful_progressive_pass_percent,vertical_passes_avg.1,conceded_goals,conceded_goals_avg,shots_against,shots_against_avg,clean_sheets,save_percent,xg_save,xg_save_avg,prevented_goals,prevented_goals_avg,back_pass_to_gk_avg,goalkeeper_exits_avg,gk_aerial_duels_avg,free_kicks_taken_avg,direct_free_kicks_taken_avg,direct_free_kicks_on_target_percent,corners_taken_avg,penalties_taken,penalties_conversion_percent,successful_attacking_actions_avg,minutes_on_field,name,birth_date,primary_position,current_team_name,league,n_leagues,full_name,birth_day,birth_country_code,birth_country_name,passport_country_codes,passport_country_names,current_team_logo,current_team_color,last_club_name,contract_expires,on_loan,positions,secondary_position,third_position,foot,low_minutes_flag,accurate_pass_avg,accurate_crosses_avg,accurate_progressive_pass_avg,dribble_efficiency,real_progression,duels_won_avg,aerial_duels_won_avg,positions_clean,main_position,market_value_str,direct_free_kick_taker,corner_taker,penalty_taker,shot_efficiency_avg
-768817,18.0,0.0,1.0,100.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,1.0,,,0.0,0.05999999999999999,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,,,,,,,16.48,35.62,,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,67,S. Sued,2007-02-20,AMF,Basconia,LaLiga,1,Selton Sued,2007-02-20,ESP,Spain,ESP,Spain,https://cdn5.wyscout.com/photos/team/public/g16527_120x120.png,d13125,Basconia,2029-06-30,False,AMF,,,unknown,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['AMF'],AM,No disponible / 0 €,False,False,False,0.0
-736582,20.0,0.0,4.0,40.0,38.0,12.0,187.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,,,,,,,8.67,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,41,S. Diop,2005-05-12,CF,Brest,Ligue 1,1,Saliou Diop,2005-05-12,SEN,Senegal,SEN,Senegal,https://cdn5.wyscout.com/photos/team/public/3982_120x120.png,da352e,Brest,,False,CF|RWF|LW,RWF,LW,right,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['CF', 'RWF', 'LW']",FW,No disponible / 0 €,False,False,False,0.0
-730558,18.0,0.0,2.0,100.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,1.0,,,0.0,0.04,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,,,,,,,10.53,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,13,C. Mul-Balentien,2006-12-18,CF,Milan Futuro,SerieA,1,Cheveyo Mul-Balentien,2006-12-18,NLD,Netherlands,NLD,Netherlands,https://cdn5.wyscout.com/photos/team/public/g-21716_120x120.png,,Milan Futuro,,False,CF,,,unknown,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['CF'],FW,No disponible / 0 €,False,False,False,0.0
-709387,19.0,0.0,1.0,100.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,,,,,,,12.630000000000003,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,27,A. Rodriguez Cosano,2006-08-05,RAMF,Unknown team,LaLiga,1,Arturo Rodriguez Cosano,2006-08-05,ESP,Spain,ESP,Spain,,,Las Palmas,,False,RAMF,,,left,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['RAMF'],RW,No disponible / 0 €,False,False,False,0.0
-695150,19.0,0.0,10.526848249027237,44.16108949416343,30.419455252918286,13.892607003891051,,,2.5268482490272373,0.3526848249027238,2.5268482490272373,0.3526848249027238,0.0,0.0,12.053696498054475,1.6826848249027238,45.32508949416343,20.760922178988327,1.388692607003891,0.1963424124513619,5.182552529182879,1.5268482490272373,0.21322178988326848,0.8497976653696498,0.12312062256809339,0.9797976653696497,1.261206225680934,0.1422490272373541,0.0,31.93663035019455,83.12475486381322,5.8147704280155645,79.32067704280155,8.193128404669261,94.14671595330739,10.36571206225681,78.75652918287938,28.924178988326847,88.66424902723735,0.6981556420233463,45.156163424124514,17.504801556420237,16.41767315175097,2.2386614785992216,0.41862256809338527,1.961914396887159,66.09851361867705,1.4673540856031129,91.21743968871596,0.21322178988326848,0.0,0.1422490272373541,0.0,2.383322957198444,24.089081712062256,1.611408560311284,25.348249027237355,0.7666459143968871,22.355750972762646,0.6268793774319066,6.515035019455253,65.63737743190661,0.5583891050583657,5.95168093385214,26.404350194552528,43.35452140077821,16.108552529182877,42.92821011673152,4.486739299610895,61.06211673151751,2.662178988326848,25.914684824902725,5.880264591439688,0.0709727626459144,0.09463035019455254,3.0836575875486383,3.824964980544747,0.06849027237354086,0.977011673151751,1.4005992217898833,1.5268482490272373,0.21322178988326848,0.0,0.0,4.061416342412452,84.1980700389105,10.36571206225681,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.3526848249027238,,,0.0,0.0,0.0,0.0,0.0,0.0,5.603961089494163,1285,Y. Diomande,2006-11-14,LW,RB Leipzig,"Bundesliga, LaLiga",2,Yan Diomande,2006-11-14,ESP,Spain,ESP,Spain,https://cdn5.wyscout.com/photos/team/public/3724_120x120.png,ff0000,RB Leipzig,,False,RWF|LWF|LAMF,LWF,LAMF,unknown,False,26.547245690361397,0.5741206146218717,3.419634176556193,4.276298125540735,10.013097276264592,11.4474796558337,0.6898952942996865,"['RWF', 'LWF', 'LAMF']",LW,No disponible / 0 €,False,False,False,0.1563424124513619
-689612,17.0,0.0,1.0,70.0,29.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,,,,,,,16.65,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,67,S. Zagadou,2008-10-24,RCB3,Le Havre,Ligue 1,1,Stephan Zagadou,2008-10-24,FRA,France,FRA,France,https://cdn5.wyscout.com/photos/team/public/556_120x120.png,0000FF,Le Havre,,False,RCB3|RB,RB,,unknown,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['RCB3', 'RB']",CB,No disponible / 0 €,False,False,False,0.0
-686978,22.0,0.0,2.0,70.0,29.0,0.0,,,0.0,0.0,0.0,,0.0,,1.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,,,,,,,24.67,18.28,,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.29,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,51,D. Perez,2003-08-13,LAMF,Las Palmas Atlético,LaLiga,1,Diego Martín Perez,2003-08-13,ESP,Spain,ESP,Spain,https://cdn5.wyscout.com/photos/team/public/3598_120x120.png,,Las Palmas Atlético,,False,LAMF|LW,LW,,unknown,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['LAMF', 'LW']",LW,No disponible / 0 €,False,False,False,0.0
-683934,21.0,0.0,1.0,100.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,,,,,,,9.959999999999999,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,30.0,0.0,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,7,N. Shuabiu,2004-02-10,CF,Rio Ave U23,Liga Portuguesa,1,Naziru Shuabiu,2004-02-10,NGA,Nigeria,NGA,Nigeria,https://cdn5.wyscout.com/photos/team/public/g-8984_120x120.png,24502c,Rio Ave U23,,False,CF,,,unknown,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['CF'],FW,No disponible / 0 €,False,False,False,0.0
-680280,23.0,0.0,12.0,43.0,43.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.15,0.0,0.0,0.38,0.03,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.28,75.99,18.12,64.17,2.42,93.75,9.14,87.6,28.54,84.39,5.51,35.62,20.65,41.86,0.0,0.0,0.44999999999999996,16.67,4.68,37.1,0.3,25.0,0.0,0.0,0.23,0.0,0.23,0.0,0.0,0.0,0.0,0.38,60.0,0.08,0.15,15.25,57.43,1.74,39.13,7.0200000000000005,65.59,4.53,53.33,9.82,0.23,0.29,4.98,6.31,0.83,0.76,0.6,3.0,0.23,0.0,0.0,6.57,56.32,9.14,0.0,,0.0,,0.0,0.0,0.0,0.0,,,1.21,,,0.0,0.0,0.0,0.0,0.0,0.0,0.23,1192,S. Chounkwi Fogning,2001-11-11,LCB3,Boavista,Liga Portuguesa,1,Sidoine Chounkwi Fogning,2001-11-11,CMR,Cameroon,CMR,Cameroon,https://cdn5.wyscout.com/photos/team/public/166_120x120.png,,Boavista,,False,LCB3|LCB,LCB,,unknown,False,26.049371999999998,0.0,3.700224,0.228,6.720000000000001,8.758075,2.415849,"['LCB3', 'LCB']",CB,No disponible / 0 €,False,False,False,-0.03
-674471,20.0,0.0,8.0,88.0,11.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.04,0.01,0.0,0.21,0.0,0.0,33.59,80.25,10.160000000000002,67.35,11.410000000000002,90.90999999999998,5.39,80.77,30.28,85.62,1.87,44.44,13.85,17.19,0.21,0.62,0.62,0.0,2.28,45.45000000000001,0.0,0.0,0.0,0.0,1.45,14.29,0.0,0.0,1.45,14.29,0.21,1.45,85.71,0.21,0.83,14.72,52.10999999999999,3.73,61.10999999999999,7.259999999999999,54.29,1.87,22.22,8.71,0.21,0.24,4.56,5.240000000000001,0.0,1.45,1.66,0.0,0.0,0.0,0.0,4.15,35.0,5.39,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.21,,,0.0,0.0,0.0,0.0,0.0,0.0,1.45,434,W. Ndollo Bille,2005-04-15,RB5,Montpellier U19,Ligue 1,1,Wilfried Chancy Ndollo Bille,2005-04-15,CMR,Cameroon,CMR,Cameroon,https://cdn5.wyscout.com/photos/team/public/g19636_120x120.png,204980,Montpellier U19,,False,RB5|RB,RB,,unknown,True,26.955975000000002,0.20720499999999997,1.4525,1.2427949999999999,4.98,7.670591999999999,0.415514,"['RB5', 'RB']",RB,No disponible / 0 €,False,False,False,0.0
