id,name,full_name,age,birth_date,passport_country_names,league,current_team_name,current_team_logo,current_team_color,contract_expires,market_value,market_value_str,minutes_on_field,low_minutes_flag,total_matches,on_loan,main_position,positions_clean,foot,height,weight,direct_free_kick_taker,corner_taker,penalty_taker,player_role,pos_group,goals_avg,non_penalty_goal_avg,head_goals_avg,shots_on_target_percent,shot_efficiency_avg,xg_shot_avg,assists_avg,xg_assist_avg,key_passes_avg,accurate_passes_percent,accurate_pass_avg,accurate_crosses_percent,accurate_crosses_avg,successful_progressive_pass_percent,accurate_progressive_pass_avg,successful_dribbles_percent,dribble_efficiency,progressive_run_avg,real_progression,duels_won,duels_won_avg,offensive_duels_won,defensive_duels_won,aerial_duels_won,aerial_duels_won_avg,successful_defensive_actions_avg,tackle_avg,interceptions_avg,shot_block_avg,conceded_goals_avg,shots_against_avg,save_percent,xg_save_avg,prevented_goals_avg,goalkeeper_exits_avg,gk_aerial_duels_avg,direct_free_kicks_on_target_percent,penalties_conversion_percent,fouls_avg,foul_suffered_avg,yellow_cards_avg,red_cards_avg
-695150,Y. Diomande,Yan Diomande,19.0,2006-11-14,Spain,"Bundesliga, LaLiga",RB Leipzig,https://cdn5.wyscout.com/photos/team/public/3724_120x120.png,ff0000,,0.0,No disponible / 0 €,1285,False,10.526848249027237,False,LW,"['RWF', 'LWF', 'LAMF']",unknown,,,False,False,False,Dribbler winger,LW,79.27,81.22,28.38,65.21,87.94,51.57,72.33,43.7,90.0,81.87,70.29,24.45,34.45,86.16,65.56,88.55,81.11,88.82,90.29,48.89,86.69,65.5,75.27,33.05,51.27,67.1,32.59,80.96,43.76,,,35.19,35.19,,,,29.36,31.3,46.31,42.97,61.32,32.47
-528796,Jesús Rodríguez,Jesús  Rodríguez Caraballo,19.0,2005-11-21,Spain,"LaLiga, SerieA",Como,https://cdn5.wyscout.com/photos/team/public/1236_120x120.png,0000ff,2030-06-30,0.0,No disponible / 0 €,1803,False,17.039933444259567,False,LW,"['LAMF', 'RAMF']",right,,,False,True,False,Dribbler winger,LW,25.63,26.02,28.38,31.45,28.69,45.12,70.4,28.13,38.16,41.33,31.8,15.17,23.27,84.78,39.51,75.56,81.54,84.44,74.6,75.21,88.72,74.74,67.74,44.56,37.02,60.69,24.57,45.68,12.63,,,35.19,35.19,,,,29.36,31.3,44.47,72.99,4.86,79.65
-498757,T. Akinsola,Tunde Akinsola,22.0,2003-03-10,Nigeria,Liga Portuguesa,AVS ,https://cdn5.wyscout.com/photos/team/public/g-19144_120x120.png,,2027-06-30,0.0,No disponible / 0 €,1244,False,29.0,False,LW,"['LW', 'RW', 'LWB']",left,175.0,66.0,False,True,False,Defensive winger,LW,36.4,36.79,73.69,16.35,39.93,46.29,24.49,22.3,32.3,26.7,9.34,62.52,58.66,36.41,36.32,58.49,65.93,48.05,44.54,68.6,77.5,64.22,73.42,67.47,64.41,51.16,31.4,64.09,46.02,,,35.19,35.19,,,,29.36,31.3,15.73,40.62,25.05,32.47
-406254,T. Touré,Tidjany Chabrol Touré,22.0,2002-07-15,France|Côte d'Ivoire,Liga Portuguesa,Gil Vicente,https://cdn5.wyscout.com/photos/team/public/1535_120x120.png,ff0000,2027-06-30,0.0,No disponible / 0 €,1209,False,26.0,False,LW,"['LW', 'RAMF', 'LAMF']",right,184.0,75.0,False,True,False,Defensive winger,LW,18.98,19.36,28.38,55.61,19.63,42.95,54.1,10.07,13.53,90.25,44.26,31.63,12.67,40.56,12.07,76.54,78.85,68.35,39.82,83.81,84.95,82.88,79.35,49.03,46.15,69.35,65.87,67.56,12.63,,,35.19,35.19,,,,29.36,31.3,22.4,81.15,77.06,86.13
-351535,Coba da Costa,Coba Gomes da Costa,23.0,2002-07-26,Spain|Guinea,LaLiga,Getafe,https://cdn5.wyscout.com/photos/team/public/56_120x120.png,0634bd,2029-06-30,0.0,No disponible / 0 €,1417,False,30.0,False,LW,['LW'],right,,,False,True,False,Dribbler winger,LW,15.01,15.6,69.91,33.15,24.38,30.81,47.38,77.6,57.06,12.07,26.21,68.01,80.37,18.38,45.93,33.84,75.25,58.75,64.93,34.09,78.42,21.36,56.9,77.81,86.57,84.24,60.66,85.97,12.63,,,35.19,35.19,,,,29.36,31.3,52.15,16.16,79.36,32.47
-331365,Assane Diao,Assane Diao Diaoune,20.0,2005-09-07,Senegal|Spain,"LaLiga, SerieA",Como,https://cdn5.wyscout.com/photos/team/public/1236_120x120.png,0000ff,2029-06-30,0.0,No disponible / 0 €,1751,False,17.70816676185037,False,LW,"['RW', 'RAMF', 'CF']",right,185.0,72.0,False,True,False,Defensive winger,LW,86.0,86.78,67.42,63.49,92.88,47.46,19.78,3.25,8.4,60.43,12.78,0.38,0.38,20.33,9.21,16.04,48.73,66.44,40.61,26.51,67.62,30.63,69.52,49.47,63.49,48.63,71.74,31.23,37.99,,,35.19,35.19,,,,29.36,31.3,69.42,86.31,31.86,32.47
-323015,J. Devenny,Justin Devenny,22.0,2003-10-11,Northern Ireland|Scotland,Premier League,Crystal Palace,https://cdn5.wyscout.com/photos/team/public/313_120x120.png,255da5,,0.0,No disponible / 0 €,774,False,31.0,False,LW,"['LW', 'RCMF', 'RWF']",left,,,True,True,False,Defensive winger,LW,30.62,31.01,28.38,81.5,64.75,10.06,43.43,22.3,46.65,32.66,37.78,26.41,6.96,25.64,44.06,39.86,1.95,6.78,22.68,45.64,38.32,0.38,47.98,34.95,44.86,88.19,10.11,54.15,59.2,,,35.19,35.19,,,,29.36,31.3,79.61,2.18,38.09,32.47
-307863,B. Domínguez,Benjamín Domínguez,22.0,2003-09-19,Argentina,SerieA,Bologna,https://cdn5.wyscout.com/photos/team/public/174_120x120.png,ee3c46,2029-06-30,0.0,No disponible / 0 €,1525,False,28.0,False,LW,"['LAMF', 'RAMF', 'LWF']",right,172.0,68.0,False,False,False,Defensive winger,LW,45.44,47.19,28.38,72.08,49.59,49.62,63.79,22.3,14.99,83.84,32.67,37.0,12.24,21.89,14.42,74.73,61.12,54.24,31.37,28.83,64.33,40.0,88.61,9.16,12.07,53.35,28.61,38.9,41.55,,,35.19,35.19,,,,29.36,31.3,24.99,63.87,4.86,32.47
-307670,A. Joujou,Antoine Joujou,22.0,2003-03-12,France|Guadeloupe,Ligue 1,Famalicão,https://cdn5.wyscout.com/photos/team/public/4103_120x120.png,081a35,,0.0,No disponible / 0 €,734,False,18.0,True,LW,"['LW', 'LAMF']",right,189.0,79.0,False,True,False,Dribbler winger,LW,4.66,5.05,28.38,8.83,26.13,6.72,79.54,77.6,84.17,14.53,19.4,85.9,88.21,16.54,55.09,73.7,72.83,53.62,68.89,32.98,57.01,51.15,48.39,31.52,27.78,75.76,10.11,87.84,85.34,,,35.19,35.19,,,,29.36,31.3,18.6,14.86,4.86,32.47
-294732,J. Bahoya,Jean Mattéo Bahoya,20.0,2005-05-07,France|Cameroon,Bundesliga,Eintracht Frankfurt,https://cdn5.wyscout.com/photos/team/public/9_120x120.png,bc271a,2029-06-30,0.0,No disponible / 0 €,1348,False,28.0,False,LW,"['LAMF', 'LW', 'AMF']",right,180.0,69.0,False,True,False,Defensive winger,LW,66.71,68.46,73.69,30.63,75.24,53.74,69.34,79.54,68.25,52.57,58.47,91.05,81.26,24.81,48.25,81.64,42.72,52.02,58.39,87.23,61.99,60.14,100.0,66.5,63.94,79.55,31.4,79.22,61.91,,,35.19,35.19,,,,29.36,31.3,40.91,27.06,59.34,32.47
