id,name,full_name,age,birth_date,passport_country_names,league,current_team_name,current_team_logo,current_team_color,contract_expires,market_value,market_value_str,minutes_on_field,low_minutes_flag,total_matches,on_loan,main_position,positions_clean,foot,height,weight,goals_avg,non_penalty_goal_avg,head_goals_avg,shots_on_target_percent,shot_efficiency_avg,xg_shot_avg,assists_avg,xg_assist_avg,key_passes_avg,accurate_passes_percent,accurate_pass_avg,accurate_crosses_percent,accurate_crosses_avg,successful_progressive_pass_percent,accurate_progressive_pass_avg,successful_dribbles_percent,dribble_efficiency,progressive_run_avg,real_progression,duels_won,duels_won_avg,offensive_duels_won,defensive_duels_won,aerial_duels_won,aerial_duels_won_avg,successful_defensive_actions_avg,tackle_avg,interceptions_avg,shot_block_avg,conceded_goals_avg,shots_against_avg,save_percent,xg_save_avg,prevented_goals_avg,goalkeeper_exits_avg,gk_aerial_duels_avg,direct_free_kick_taker,direct_free_kicks_on_target_percent,corner_taker,penalty_taker,penalties_conversion_percent,fouls_avg,foul_suffered_avg,yellow_cards_avg,red_cards_avg,player_role
-768817,S. Sued,Selton Sued,18.0,2007-02-20,Spain,LaLiga,Basconia,https://cdn5.wyscout.com/photos/team/public/g16527_120x120.png,d13125,2029-06-30,0.0,No disponible / 0 €,67,True,1.0,False,AM,['AMF'],unknown,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-736582,S. Diop,Saliou Diop,20.0,2005-05-12,Senegal,Ligue 1,Brest,https://cdn5.wyscout.com/photos/team/public/3982_120x120.png,da352e,,0.0,No disponible / 0 €,41,True,4.0,False,FW,"['CF', 'RWF', 'LW']",right,187.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-730558,C. Mul-Balentien,Cheveyo Mul-Balentien,18.0,2006-12-18,Netherlands,SerieA,Milan Futuro,https://cdn5.wyscout.com/photos/team/public/g-21716_120x120.png,,,0.0,No disponible / 0 €,13,True,2.0,False,FW,['CF'],unknown,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-709387,A. Rodriguez Cosano,Arturo Rodriguez Cosano,19.0,2006-08-05,Spain,LaLiga,Unknown team,,,,0.0,No disponible / 0 €,27,True,1.0,False,RW,['RAMF'],left,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-695150,Y. Diomande,Yan Diomande,19.0,2006-11-14,Spain,"Bundesliga, LaLiga",RB Leipzig,https://cdn5.wyscout.com/photos/team/public/3724_120x120.png,ff0000,,0.0,No disponible / 0 €,1285,False,10.526848249027237,False,LW,"['RWF', 'LWF', 'LAMF']",unknown,,,0.3526848249027238,0.3526848249027238,0.0,45.32508949416343,0.1563424124513619,0.1963424124513619,0.21322178988326848,0.12312062256809339,0.9797976653696497,83.12475486381322,26.547245690361397,24.089081712062256,0.5741206146218717,84.1980700389105,3.419634176556193,65.63737743190661,4.276298125540735,5.95168093385214,10.013097276264592,43.35452140077821,11.4474796558337,42.92821011673152,61.06211673151751,25.914684824902725,0.6898952942996865,5.880264591439688,0.0709727626459144,3.0836575875486383,0.06849027237354086,,,0.0,0.0,,,,False,0.0,False,False,0.0,0.977011673151751,1.4005992217898833,0.21322178988326848,0.0,Dribbler winger
-689612,S. Zagadou,Stephan Zagadou,17.0,2008-10-24,France,Ligue 1,Le Havre,https://cdn5.wyscout.com/photos/team/public/556_120x120.png,0000FF,,0.0,No disponible / 0 €,67,True,1.0,False,CB,"['RCB3', 'RB']",unknown,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-686978,D. Perez,Diego Martín Perez,22.0,2003-08-13,Spain,LaLiga,Las Palmas Atlético,https://cdn5.wyscout.com/photos/team/public/3598_120x120.png,,,0.0,No disponible / 0 €,51,True,2.0,False,LW,"['LAMF', 'LW']",unknown,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-683934,N. Shuabiu,Naziru Shuabiu,21.0,2004-02-10,Nigeria,Liga Portuguesa,Rio Ave U23,https://cdn5.wyscout.com/photos/team/public/g-8984_120x120.png,24502c,,0.0,No disponible / 0 €,7,True,1.0,False,FW,['CF'],unknown,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-680280,S. Chounkwi Fogning,Sidoine Chounkwi Fogning,23.0,2001-11-11,Cameroon,Liga Portuguesa,Boavista,https://cdn5.wyscout.com/photos/team/public/166_120x120.png,,,0.0,No disponible / 0 €,1192,False,12.0,False,CB,"['LCB3', 'LCB']",unknown,,,0.0,0.0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,75.99,26.049371999999998,0.0,0.0,56.32,3.700224,60.0,0.228,0.15,6.720000000000001,57.43,8.758075,39.13,65.59,53.33,2.415849,9.82,0.23,4.98,0.83,,,0.0,0.0,,,,False,0.0,False,False,0.0,0.76,0.6,0.23,0.0,Ball-stealing CB
-674471,W. Ndollo Bille,Wilfried Chancy Ndollo Bille,20.0,2005-04-15,Cameroon,Ligue 1,Montpellier U19,https://cdn5.wyscout.com/photos/team/public/g19636_120x120.png,204980,,0.0,No disponible / 0 €,434,True,8.0,False,RB,"['RB5', 'RB']",unknown,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,80.25,26.955975000000002,14.29,0.20720499999999997,35.0,1.4525,85.71,1.2427949999999999,0.83,4.98,52.10999999999999,7.670591999999999,61.10999999999999,54.29,22.22,0.415514,8.71,0.21,4.56,0.0,,,0.0,0.0,,,,False,0.0,False,False,0.0,1.45,1.66,0.0,0.0,No role assigned
-673982,Afonso Assis,Afonso Assis Cunha Almeida,18.0,2006-07-15,Portugal,Liga Portuguesa,Moreirense,https://cdn5.wyscout.com/photos/team/public/2599_120x120.png,2a5d28,,0.0,No disponible / 0 €,22,True,1.0,False,MF,['LCMF'],unknown,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
-673292,I. Alani,Ibrahim Akitunde Alani,19.0,2006-07-29,Nigeria,LaLiga,Real Valladolid,https://cdn5.wyscout.com/photos/team/public/59_120x120.png,632d8e,,0.0,No disponible / 0 €,176,True,3.0,False,MF,"['RCMF', 'LB', 'RDMF']",right,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,False,,False,False,0.0,0.0,0.0,0.0,0.0,No role assigned
