id,name,full_name,age,birth_date,birth_day,birth_country_code,birth_country_name,passport_country_codes,passport_country_names,current_team_name,current_team_logo,current_team_color,last_club_name,contract_expires,market_value,minutes_on_field,total_matches,on_loan,positions,primary_position,secondary_position,third_position,primary_position_percent,secondary_position_percent,third_position_percent,foot,height,weight,goals,goals_avg,non_penalty_goal,non_penalty_goal_avg,head_goals,head_goals_avg,shots,shots_avg,shots_on_target_percent,goal_conversion_percent,xg_shot,xg_shot_avg,touch_in_box_avg,assists,assists_avg,xg_assist,xg_assist_avg,key_passes_avg,shot_assists_avg,pre_assist_avg,pre_pre_assist_avg,passes_avg,accurate_passes_percent,forward_passes_avg,successful_forward_passes_percent,back_passes_avg,successful_back_passes_percent,vertical_passes_avg,successful_vertical_passes_percent,short_medium_pass_avg,accurate_short_medium_pass_percent,long_passes_avg,successful_long_passes_percent,average_pass_length,average_long_pass_length,deep_completed_pass_avg,deep_completed_cross_avg,pass_to_penalty_area_avg,accurate_pass_to_penalty_area_percent,passes_to_final_third_avg,accurate_passes_to_final_third_percent,through_passes_avg,successful_through_passes_percent,smart_passes_avg,accurate_smart_passes_percent,crosses_avg,accurate_crosses_percent,cross_from_left_avg,successful_cross_from_left_percent,cross_from_right_avg,successful_cross_from_right_percent,cross_to_goalie_box_avg,dribbles_avg,successful_dribbles_percent,accelerations_avg,progressive_run_avg,duels_avg,duels_won,offensive_duels_avg,offensive_duels_won,defensive_duels_avg,defensive_duels_won,aerial_duels_avg,aerial_duels_won,successful_defensive_actions_avg,tackle_avg,possession_adjusted_tackle,interceptions_avg,possession_adjusted_interceptions,shot_block_avg,fouls_avg,foul_suffered_avg,yellow_cards,yellow_cards_avg,red_cards,red_cards_avg,progressive_pass_avg,successful_progressive_pass_percent,vertical_passes_avg,conceded_goals,conceded_goals_avg,shots_against,shots_against_avg,clean_sheets,save_percent,xg_save,xg_save_avg,prevented_goals,prevented_goals_avg,back_pass_to_gk_avg,goalkeeper_exits_avg,gk_aerial_duels_avg,free_kicks_taken_avg,direct_free_kicks_taken_avg,direct_free_kicks_on_target_percent,corners_taken_avg,penalties_taken,penalties_conversion_percent,successful_attacking_actions_avg,successful_vertical_passes_percent,successful_back_passes_percent,successful_long_passes_percent,successful_cross_from_left_percent,successful_cross_from_right_percent,successful_through_passes_percent,successful_smart_passes_percent,successful_progressive_pass_percent,successful_attacking_actions_avg,back_pass_to_gk_avg,average_pass_length,average_long_pass_length,prevented_goals,prevented_goals_avg
-560491,W. Mike,Wisdom Okpako Mike,17,2008-09-24,2008-09-24,DEU,Germany,DEU|NGA,Germany|Nigeria,Bayern München U19,https://cdn5.wyscout.com/photos/team/public/g19348_120x120.png,da314b,Bayern München U19,,0,23,2,False,CF|LW,CF,LW,,57,42,0,both,0,0,0,,0,,0,,2,,,0.0,0.21,,,0,,0.0,,,,,,,,,,,,,,,,,,10.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,15.0,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,10.9,0.0,,
-512031,L. Karl,Lennart Karl,17,2008-02-22,2008-02-22,DEU,Germany,DEU,Germany,Bayern München U19,https://cdn5.wyscout.com/photos/team/public/g19348_120x120.png,da314b,Bayern München U19,2026-06-30,0,340,9,False,RAMF|AMF,RAMF,AMF,,49,41,0,unknown,0,0,2,,2,,0,,15,,,13.333,1.51,,,2,,0.65,,,,,,,,,,,,,,,,,,16.23,25.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,3.68,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,16.23,25.02,,
-470839,F. Sakar,Faik Sakar,16,2008-01-14,2008-01-14,DEU,Germany,DEU|TUR,Germany|Türkiye,RB Leipzig U19,https://cdn5.wyscout.com/photos/team/public/g22909_120x120.png,ff0000,RB Leipzig U19,2025-06-30,0,1,1,False,RW,RW,,,100,0,0,right,0,0,0,,0,,0,,0,,,0.0,0.0,,,0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,0.0,0.0,,
-261449,V. Gebel,Viggo Gebel,17,2007-11-22,2007-11-22,DEU,Germany,DEU,Germany,RB Leipzig,https://cdn5.wyscout.com/photos/team/public/3724_120x120.png,ff0000,RB Leipzig,,0,17,1,False,RW,RW,,,100,0,0,right,0,0,0,,0,,0,,0,,,0.0,0.0,,,0,,0.0,,,,,,,,,,,,,,,,,,15.59,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,15.59,0.0,,
-338447,A. Tape,Axel Tape,18,2007-08-10,2007-08-10,FRA,France,FRA,France,Bayer Leverkusen,https://cdn5.wyscout.com/photos/team/public/94_120x120.png,000000,Bayer Leverkusen,,0,190,4,False,RB|RWB|RCB3,RB,RWB,RCB3,45,31,17,right,180,0,0,,0,,0,,1,,,0.0,0.24,,,0,,0.0,,,,,,,,,,,,,,,,,,18.21,10.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,2.09,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,18.21,10.84,,
-446061,J. Kusi-Asare,Jonah Kusi-Asare,18,2007-07-04,2007-07-04,SWE,Sweden,SWE|GHA,Sweden|Ghana,Fulham,https://cdn5.wyscout.com/photos/team/public/29_120x120.png,000000,Fulham,,0,18,2,True,CF,CF,,,100,0,0,right,196,84,0,,0,,0,,1,,,0.0,0.03,,,0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,20.0,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,0.0,0.0,,
-441471,P. Čović,Patrice Čović,18,2007-06-25,2007-06-25,DEU,Germany,DEU|HRV,Germany|Croatia,Werder Bremen,https://cdn5.wyscout.com/photos/team/public/93_120x120.png,204329,Werder Bremen,2027-06-30,0,248,8,False,AMF|RDMF|RCMF3,AMF,RDMF,RCMF3,32,31,10,right,0,0,0,,0,,0,,1,,,0.0,0.17,,,0,,0.44,,,,,,,,,,,,,,,,,,18.42,30.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,5.91,,,,1,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,18.42,30.28,,
-379554,K. Koscierski,Kacper Koscierski,17,2007-06-23,2007-06-23,DEU,Germany,DEU|POL,Germany|Poland,Bochum U19,https://cdn5.wyscout.com/photos/team/public/g19366_120x120.png,6FB7FF,Bochum U19,2026-06-30,0,7,1,False,RWB,RWB,,,100,0,0,unknown,0,0,0,,0,,0,,0,,,0.0,0.0,,,0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,0.0,0.0,,
-336200,A. Maksimović,Andrija  Maksimović,18,2007-06-05,2007-06-05,SER,Serbia,SER,Serbia,RB Leipzig,https://cdn5.wyscout.com/photos/team/public/3724_120x120.png,ff0000,RB Leipzig,,0,29,3,False,RCMF3|RAMF,RCMF3,RAMF,,80,11,0,left,177,67,0,,0,,0,,0,,,0.0,0.0,,,0,,0.06,,,,,,,,,,,,,,,,,,5.56,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,5.56,0.0,,
-397003,A. Coulibaly,Abdoul Karim  Coulibaly,18,2007-05-23,2007-05-23,DEU,Germany,DEU,Germany,Werder Bremen,https://cdn5.wyscout.com/photos/team/public/93_120x120.png,204329,Werder Bremen,,0,970,11,False,LCB,LCB,,,91,0,0,left,0,0,1,0.09,1,0.09,0,0.0,3,0.28,33.33,33.333,1.23,0.11,0.37,0,0.0,0.2,0.02,0.0,0.28,0.0,0.0,55.58,85.48,21.34,67.39,4.45,100.0,25.89,96.77,48.8,92.02,6.68,38.89,22.86,43.78,0.09,0.0,0.46,40.0,6.4,59.42,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.46,60.0,0.0,0.93,13.92,58.67,1.58,41.18,5.47,72.88,3.9,54.76,9.19,0.28,0.33,4.92,5.89,0.84,0.84,0.28,2,0.19,0,0.0,9.74,59.05,25.89,0,,0,,0,0.0,0.0,0.0,,,4.18,,,0.0,0.0,0.0,0.0,0,0.0,0.37,96.77,100.0,38.89,0.0,0.0,0.0,,59.05,0.37,4.18,22.86,43.78,,
