id,name,full_name,age,birth_date,birth_day,birth_country_code,birth_country_name,passport_country_codes,passport_country_names,current_team_name,current_team_logo,current_team_color,last_club_name,contract_expires,market_value,minutes_on_field,total_matches,on_loan,positions,primary_position,secondary_position,third_position,primary_position_percent,secondary_position_percent,third_position_percent,foot,height,weight,goals,goals_avg,non_penalty_goal,non_penalty_goal_avg,head_goals,head_goals_avg,shots,shots_avg,shots_on_target_percent,goal_conversion_percent,xg_shot,xg_shot_avg,touch_in_box_avg,assists,assists_avg,xg_assist,xg_assist_avg,key_passes_avg,shot_assists_avg,pre_assist_avg,pre_pre_assist_avg,passes_avg,accurate_passes_percent,forward_passes_avg,successful_forward_passes_percent,back_passes_avg,successful_back_passes_percent,vertical_passes_avg,successful_vertical_passes_percent,short_medium_pass_avg,accurate_short_medium_pass_percent,long_passes_avg,successful_long_passes_percent,average_pass_length,average_long_pass_length,deep_completed_pass_avg,deep_completed_cross_avg,pass_to_penalty_area_avg,accurate_pass_to_penalty_area_percent,passes_to_final_third_avg,accurate_passes_to_final_third_percent,through_passes_avg,successful_through_passes_percent,smart_passes_avg,accurate_smart_passes_percent,crosses_avg,accurate_crosses_percent,cross_from_left_avg,successful_cross_from_left_percent,cross_from_right_avg,successful_cross_from_right_percent,cross_to_goalie_box_avg,dribbles_avg,successful_dribbles_percent,accelerations_avg,progressive_run_avg,duels_avg,duels_won,offensive_duels_avg,offensive_duels_won,defensive_duels_avg,defensive_duels_won,aerial_duels_avg,aerial_duels_won,successful_defensive_actions_avg,tackle_avg,possession_adjusted_tackle,interceptions_avg,possession_adjusted_interceptions,shot_block_avg,fouls_avg,foul_suffered_avg,yellow_cards,yellow_cards_avg,red_cards,red_cards_avg,progressive_pass_avg,successful_progressive_pass_percent,vertical_passes_avg,conceded_goals,conceded_goals_avg,shots_against,shots_against_avg,clean_sheets,save_percent,xg_save,xg_save_avg,prevented_goals,prevented_goals_avg,back_pass_to_gk_avg,goalkeeper_exits_avg,gk_aerial_duels_avg,free_kicks_taken_avg,direct_free_kicks_taken_avg,direct_free_kicks_on_target_percent,corners_taken_avg,penalties_taken,penalties_conversion_percent,successful_attacking_actions_avg,successful_vertical_passes_percent,successful_back_passes_percent,successful_long_passes_percent,successful_cross_from_left_percent,successful_cross_from_right_percent,successful_through_passes_percent,successful_smart_passes_percent,successful_progressive_pass_percent,successful_attacking_actions_avg,back_pass_to_gk_avg,average_pass_length,average_long_pass_length,prevented_goals,prevented_goals_avg
-311398,Toni Fernández,Antonio Fernández Casino,17.0,2008-07-15,2008-07-15,ESP,Spain,ESP,Spain,Barcelona Atlètic,https://cdn5.wyscout.com/photos/team/public/2513_120x120.png,b61d4c,Barcelona Atlètic,2027-06-30,0,47,1,False,CF,CF,,,100,0,0,,0,0,0,,0,,0,,0,,,0.0,0.0,,,0,,0.15,,,,,,,,,,,,,,,,,,9.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,9.99,0.0,,
-387258,Pedro Fernández,Pedro Fernández Sarmiento,17.0,2008-01-12,2008-01-12,ESP,Spain,ESP,Spain,Barcelona Atlètic,https://cdn5.wyscout.com/photos/team/public/2513_120x120.png,b61d4c,Barcelona Atlètic,,0,84,3,False,AMF|LAMF,AMF,LAMF,,56,43,0,unknown,0,0,0,,0,,0,,0,,,0.0,0.0,,,0,,0.12,,,,,,,,,,,,,,,,,,12.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,3.75,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,12.01,0.0,,
-395432,Pablo Menéndez,Pablo Menéndez Agudín,18.0,2007-11-08,2007-11-08,ESP,Spain,ESP,Spain,Real Oviedo Vetusta,https://cdn5.wyscout.com/photos/team/public/g16524_120x120.png,000000,Real Oviedo Vetusta,2028-06-30,0,70,3,False,LW|LWF|RAMF,LW,LWF,RAMF,52,30,16,unknown,0,0,0,,0,,0,,2,,,0.0,0.02,,,0,,0.0,,,,,,,,,,,,,,,,,,19.69,20.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.76,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,19.69,20.16,,
-588469,Davinchi,Cordón Mancha David,18.0,2007-10-16,2007-10-16,ESP,Spain,ESP,Spain,Getafe,https://cdn5.wyscout.com/photos/team/public/56_120x120.png,0634bd,Getafe,2028-06-30,0,486,7,False,LB5|LB,LB5,LB,,83,16,0,,182,75,0,0.0,0,0.0,0,0.0,3,0.56,33.33,0.0,0.12,0.02,0.74,0,0.0,0.13,0.02,0.19,0.56,0.0,0.0,29.81,67.08,13.89,52.0,4.81,88.46,7.22,79.49,23.33,74.6,4.81,42.31,18.84,32.98,0.19,0.56,2.41,38.46,3.33,27.78,0.19,0.0,0.19,0.0,2.04,45.45,2.04,45.45,0.0,0.0,0.0,1.67,44.44,0.37,1.11,18.89,51.96,5.19,39.29,9.07,69.39,2.96,37.5,13.33,0.74,0.92,6.3,7.85,0.19,2.41,0.19,1,0.19,0,0.0,6.48,54.29,7.22,0,,0,,0,0.0,0.0,0.0,,,0.56,,,0.0,0.0,0.0,0.0,0,0.0,1.85,79.49,88.46,42.31,45.45,0.0,0.0,,54.29,1.85,0.56,18.84,32.98,,
-373384,F. Mastantuono,Franco Mastantuono,18.0,2007-08-14,2007-08-14,ARG,Argentina,ARG,Argentina,Real Madrid,https://cdn5.wyscout.com/photos/team/public/41_120x120.png,313131,Real Madrid,2031-06-30,0,587,9,False,RAMF|RW|RWF,RAMF,RW,RWF,44,21,19,left,177,71,1,0.15,1,0.15,0,0.0,18,2.76,22.22,5.556,2.67,0.41,3.83,0,0.0,0.86,0.13,0.15,0.92,0.0,0.15,42.62,88.49,5.98,76.92,13.34,95.4,15.95,87.5,39.86,92.69,1.23,25.0,15.08,20.78,1.53,0.31,2.76,55.56,2.91,57.89,0.61,25.0,0.15,100.0,1.53,30.0,0.46,33.33,1.07,28.57,0.31,6.13,37.5,0.0,1.99,22.84,43.62,14.26,37.63,5.67,62.16,0.77,60.0,5.67,0.61,1.11,1.53,2.78,0.0,1.84,2.61,3,0.46,0,0.0,2.91,78.95,15.95,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.77,0.15,0.0,2.45,0,0.0,3.53,87.5,95.4,25.0,33.33,28.57,25.0,,78.95,3.53,0.0,15.08,20.78,,
-283099,Lamine Yamal,Lamine Yamal Nasroui Ebana,18.0,2007-07-13,2007-07-13,ESP,Spain,ESP|EQG,Spain|Equatorial Guinea,Barcelona,https://cdn5.wyscout.com/photos/team/public/42_120x120.png,b61d4c,Barcelona,2031-06-30,0,2877,32,False,RAMF|RWF,RAMF,RWF,,73,22,0,left,180,72,8,0.25,7,0.22,0,0.0,144,4.5,31.25,5.556,12.72,0.4,6.07,10,0.31,8.22,0.26,1.16,1.6,0.09,0.13,45.61,76.75,9.13,58.22,10.51,94.94,14.11,75.61,39.13,83.45,2.47,43.04,16.15,32.71,2.78,1.28,6.32,45.05,3.66,50.43,1.88,31.67,1.13,38.89,4.13,33.33,0.22,28.57,3.85,34.15,0.63,13.17,53.44,0.41,5.94,25.68,47.26,19.96,45.77,3.75,60.0,0.22,0.0,3.25,0.19,0.38,0.81,1.63,0.0,0.88,1.35,2,0.06,0,0.0,5.88,86.17,14.11,0,,0,,0,0.0,0.0,0.0,,,0.06,,,0.13,0.03,0.0,0.78,1,100.0,10.26,75.61,94.94,43.04,28.57,34.15,31.67,,86.17,10.26,0.06,16.15,32.71,,
-286673,Marc Bernal,Marc Bernal Casas,18.0,2007-05-26,2007-05-26,ESP,Spain,ESP,Spain,Barcelona,https://cdn5.wyscout.com/photos/team/public/42_120x120.png,b61d4c,Barcelona,2029-06-30,0,36,4,False,LDMF|AMF,LDMF,AMF,,84,12,0,left,188,75,0,,0,,0,,0,,,0.0,0.0,,,1,,0.0,,,,,,,,,,,,,,,,,,9.27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,0.0,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,9.27,0.0,,
-587101,Valentin Pezzolesi,Valentín Alejandro Pezzolesi,18.0,2007-04-16,2007-04-16,ESP,Spain,ESP|ARG,Spain|Argentina,Las Palmas,https://cdn5.wyscout.com/photos/team/public/775_120x120.png,0038c5,Las Palmas,2027-06-30,0,14,1,False,RB5,RB5,,,100,0,0,right,0,0,0,,0,,0,,0,,,0.0,0.0,,,0,,0.0,,,,,,,,,,,,,,,,,,17.39,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,0.0,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,17.39,0.0,,
-283057,Daniel Yáñez,Daniel Yáñez Barla,17.0,2007-03-28,2007-03-28,ESP,Spain,ESP,Spain,Real Madrid U19,https://cdn5.wyscout.com/photos/team/public/g25432_120x120.png,313131,Real Madrid U19,,0,6,1,False,RAMF,RAMF,,,100,0,0,left,177,67,0,,0,,0,,0,,,0.0,0.0,,,0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,0.0,0.0,,
-508937,A. Arnu,Adrián Arnuncio Baquerín,18.0,2007-03-04,2007-03-04,ESP,Spain,ESP,Spain,Real Valladolid Promesas,https://cdn5.wyscout.com/photos/team/public/g4802_120x120.png,632d8e,Real Valladolid Promesas,2027-06-30,0,69,5,False,CF|RCMF|AMF,CF,RCMF,AMF,46,31,21,right,185,75,0,,0,,0,,3,,,0.0,0.66,,,0,,0.0,,,,,,,,,,,,,,,,,,9.18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.73,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,9.18,0.0,,
