id,name,full_name,age,birth_date,birth_day,birth_country_code,birth_country_name,passport_country_codes,passport_country_names,current_team_name,current_team_logo,current_team_color,last_club_name,contract_expires,market_value,minutes_on_field,total_matches,on_loan,positions,primary_position,secondary_position,third_position,primary_position_percent,secondary_position_percent,third_position_percent,foot,height,weight,goals,goals_avg,non_penalty_goal,non_penalty_goal_avg,head_goals,head_goals_avg,shots,shots_avg,shots_on_target_percent,goal_conversion_percent,xg_shot,xg_shot_avg,touch_in_box_avg,assists,assists_avg,xg_assist,xg_assist_avg,key_passes_avg,shot_assists_avg,pre_assist_avg,pre_pre_assist_avg,passes_avg,accurate_passes_percent,forward_passes_avg,successful_forward_passes_percent,back_passes_avg,successful_back_passes_percent,vertical_passes_avg,successful_vertical_passes_percent,short_medium_pass_avg,accurate_short_medium_pass_percent,long_passes_avg,successful_long_passes_percent,average_pass_length,average_long_pass_length,deep_completed_pass_avg,deep_completed_cross_avg,pass_to_penalty_area_avg,accurate_pass_to_penalty_area_percent,passes_to_final_third_avg,accurate_passes_to_final_third_percent,through_passes_avg,successful_through_passes_percent,smart_passes_avg,accurate_smart_passes_percent,crosses_avg,accurate_crosses_percent,cross_from_left_avg,successful_cross_from_left_percent,cross_from_right_avg,successful_cross_from_right_percent,cross_to_goalie_box_avg,dribbles_avg,successful_dribbles_percent,accelerations_avg,progressive_run_avg,duels_avg,duels_won,offensive_duels_avg,offensive_duels_won,defensive_duels_avg,defensive_duels_won,aerial_duels_avg,aerial_duels_won,successful_defensive_actions_avg,tackle_avg,possession_adjusted_tackle,interceptions_avg,possession_adjusted_interceptions,shot_block_avg,fouls_avg,foul_suffered_avg,yellow_cards,yellow_cards_avg,red_cards,red_cards_avg,progressive_pass_avg,successful_progressive_pass_percent,vertical_passes_avg,conceded_goals,conceded_goals_avg,shots_against,shots_against_avg,clean_sheets,save_percent,xg_save,xg_save_avg,prevented_goals,prevented_goals_avg,back_pass_to_gk_avg,goalkeeper_exits_avg,gk_aerial_duels_avg,free_kicks_taken_avg,direct_free_kicks_taken_avg,direct_free_kicks_on_target_percent,corners_taken_avg,penalties_taken,penalties_conversion_percent,successful_attacking_actions_avg,successful_vertical_passes_percent,successful_back_passes_percent,successful_long_passes_percent,successful_cross_from_left_percent,successful_cross_from_right_percent,successful_through_passes_percent,successful_smart_passes_percent,successful_progressive_pass_percent,successful_attacking_actions_avg,back_pass_to_gk_avg,average_pass_length,average_long_pass_length,prevented_goals,prevented_goals_avg
413136,V. Gyökeres,Viktor Gyökeres,26,1998-06-04,1998-06-04,SWE,Sweden,SWE|HUN,Sweden|Hungary,Sporting CP,https://cdn5.wyscout.com/photos/team/public/159_120x120.png,39825e,Sporting CP,2028-06-30,65000000,3187,34,False,CF,CF,,,99,0,0,right,187,90,41,1.16,28,0.81,0,0.0,138,4.01,57.97,29.71,32.64,0.95,6.71,7,0.2,5.89,0.17,0.61,1.45,0.09,0.03,19.03,74.81,2.59,61.8,5.32,86.89,5.72,70.56,17.17,79.19,0.44,40.0,14.62,12.37,1.6,0.44,1.57,61.11,0.58,75.0,0.17,33.33,0.15,40.0,1.48,31.37,0.58,35.0,0.81,28.57,0.32,6.19,55.4,0.67,3.02,23.74,39.9,16.22,39.61,1.28,54.55,2.15,43.24,1.8,0.03,0.05,1.08,1.87,0.15,0.64,2.21,4,0.11,0,0.0,1.13,84.62,5.72,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.2,0.2,57.14,0.0,13,100.0,6.28,70.56,86.89,40.0,35.0,28.57,33.33,,84.62,6.28,0.0,14.62,12.37,,
-161508,Gonçalo Inácio,Gonçalo Bernardino Inácio,23,2001-08-25,2001-08-25,PRT,Portugal,PRT,Portugal,Sporting CP,https://cdn5.wyscout.com/photos/team/public/159_120x120.png,39825e,Sporting CP,2027-06-30,45000000,2582,29,False,LCB3|LCB,LCB3,LCB,,67,25,0,left,185,78,3,0.1,3,0.11,2,0.07,15,0.54,33.33,20.0,2.37,0.09,0.61,0,0.0,0.35,0.01,0.0,0.29,0.04,0.0,71.69,91.44,31.17,84.47,2.53,98.57,30.59,97.52,65.41,94.75,6.18,57.89,20.13,37.17,0.54,0.0,1.41,43.59,13.07,81.22,0.94,34.62,0.25,42.86,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.29,50.0,0.0,1.23,13.62,62.07,1.34,40.54,5.81,72.05,4.19,53.45,7.48,0.04,0.06,3.25,5.6,0.36,1.01,0.36,6,0.21,0,0.0,14.01,85.57,30.59,0,,0,,0,0.0,0.0,0.0,,,0.76,,,0.0,0.0,0.0,0.0,0,0.0,0.43,97.52,98.57,57.89,0.0,0.0,34.62,,85.57,0.43,0.76,20.13,37.17,,
377255,Diogo Costa,Diogo Meireles Costa,25,1999-09-19,1999-09-19,PRT,Portugal,PRT|CHE,Portugal|Switzerland,Porto,https://cdn5.wyscout.com/photos/team/public/157_120x120.png,1e6ae3,Porto,2027-06-30,45000000,3074,31,False,GK,GK,,,100,0,0,right,188,84,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,26.61,90.21,12.56,82.05,0.0,0.0,13.18,97.78,19.88,98.82,6.7,65.07,27.61,48.88,0.03,0.0,0.18,0.0,1.99,48.53,0.35,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,75.0,0.09,66.67,0.15,80.0,0.12,75.0,1.58,0.03,0.05,1.43,2.5,0.0,0.0,0.09,0,0.0,0,0.0,4.95,75.15,13.18,23,0.67,82,2.4,16,71.95,25.41,0.74,2.41,0.071,0.0,0.79,0.12,,,,0.0,0,0.0,0.0,97.78,0.0,65.07,0.0,0.0,16.67,,75.15,0.0,0.0,27.61,48.88,2.41,0.071
460181,M. Hjulmand,Morten Due Hjulmand,25,1999-06-25,1999-06-25,DNK,Denmark,DNK,Denmark,Sporting CP,https://cdn5.wyscout.com/photos/team/public/159_120x120.png,39825e,Sporting CP,2028-06-30,40000000,2463,29,False,RCMF|RDMF,RCMF,RDMF,,83,11,0,right,185,77,2,0.07,1,0.04,0,0.0,14,0.53,42.86,14.286,2.16,0.08,0.72,2,0.08,0.92,0.03,0.08,0.46,0.08,0.11,53.17,91.08,15.17,81.0,7.17,97.88,22.15,95.72,49.57,93.19,3.07,62.96,16.89,33.41,0.95,0.3,1.9,68.0,8.8,84.91,0.34,44.44,0.08,50.0,0.53,57.14,0.04,100.0,0.46,50.0,0.04,0.64,70.59,0.08,0.61,13.39,56.66,4.44,48.72,5.27,66.91,1.59,50.0,7.09,0.11,0.19,3.45,5.85,0.34,1.02,1.63,10,0.37,1,0.04,7.28,85.42,22.15,0,,0,,0,0.0,0.0,0.0,,,0.3,,,0.11,0.0,0.0,0.04,1,100.0,1.02,95.72,97.88,62.96,100.0,50.0,44.44,,85.42,1.02,0.3,16.89,33.41,,
-211342,A. Varela,Alan Gonzalo Varela,23,2001-07-04,2001-07-04,ARG,Argentina,ARG,Argentina,Porto,https://cdn5.wyscout.com/photos/team/public/157_120x120.png,1e6ae3,Porto,2030-06-30,35000000,2308,30,False,DMF|RDMF|LCMF,DMF,RDMF,LCMF,23,23,21,right,177,73,0,0.0,0,0.0,0,0.0,15,0.58,33.33,0.0,0.86,0.03,0.19,2,0.08,1.88,0.07,0.23,0.7,0.08,0.0,53.85,90.73,15.29,81.89,8.07,97.58,22.93,94.9,49.56,94.1,3.86,51.52,16.96,29.29,0.82,0.19,1.52,69.23,8.46,82.03,0.66,47.06,0.27,71.43,0.43,54.55,0.27,57.14,0.16,50.0,0.04,0.43,63.64,0.08,0.86,11.58,51.52,3.0,40.26,4.52,55.17,1.91,57.14,6.51,0.55,0.92,3.47,5.87,0.08,1.05,0.86,7,0.27,0,0.0,7.06,81.77,22.93,0,,0,,0,0.0,0.0,0.0,,,0.58,,,0.74,0.08,50.0,1.83,0,0.0,0.9,94.9,97.58,51.52,57.14,50.0,47.06,,81.77,0.9,0.58,16.96,29.29,,
497909,Pedro Gonçalves,Pedro António Pereira Gonçalves,26,1998-06-28,1998-06-28,PRT,Portugal,PRT,Portugal,Sporting CP,https://cdn5.wyscout.com/photos/team/public/159_120x120.png,39825e,Sporting CP,2027-06-30,32000000,1056,15,False,LWF|AMF|LW,LWF,AMF,LW,60,16,15,right,173,77,5,0.43,5,0.47,1,0.09,37,3.45,24.32,13.514,5.68,0.53,5.03,2,0.19,4.31,0.4,1.21,2.98,0.19,0.0,32.05,79.07,9.69,71.15,7.36,87.34,6.99,78.67,28.6,82.74,1.3,78.57,16.05,19.84,2.52,0.56,4.38,63.83,4.01,72.09,1.02,45.45,0.84,44.44,2.14,30.43,1.3,28.57,0.65,42.86,0.37,3.17,41.18,0.19,1.3,14.91,36.88,7.45,35.0,4.1,56.82,1.02,9.09,4.29,0.19,0.34,1.77,3.18,0.28,0.84,0.75,3,0.26,0,0.0,5.12,85.45,6.99,0,,0,,0,0.0,0.0,0.0,,,0.0,,,1.4,0.19,0.0,1.96,0,0.0,3.17,78.67,87.34,78.57,28.57,42.86,45.45,,85.45,3.17,0.0,16.05,19.84,,
398248,Pepê,Eduardo Gabriel Aquino Cossa,28,1997-02-24,1997-02-24,BRA,Brazil,BRA|ITA,Brazil|Italy,Porto,https://cdn5.wyscout.com/photos/team/public/157_120x120.png,1e6ae3,Porto,2027-06-30,30000000,2091,30,False,LAMF|RAMF|AMF,LAMF,RAMF,AMF,30,15,14,right,175,72,3,0.13,3,0.13,1,0.04,29,1.25,48.28,10.345,3.97,0.17,3.23,2,0.09,2.4,0.1,0.39,1.21,0.17,0.09,33.01,79.4,8.13,64.02,8.61,91.5,8.91,83.57,29.91,82.88,1.46,61.76,15.86,18.7,1.81,0.52,3.1,55.56,2.28,67.92,0.69,43.75,0.56,46.15,1.64,31.58,0.99,21.74,0.65,46.67,0.17,2.41,50.0,0.39,2.11,15.88,40.11,7.4,34.88,4.35,50.5,1.68,38.46,4.3,0.04,0.08,2.07,3.62,0.0,1.08,1.29,4,0.17,0,0.0,4.13,73.96,8.91,0,,0,,0,0.0,0.0,0.0,,,0.17,,,0.34,0.0,0.0,1.59,0,0.0,2.58,83.57,91.5,61.76,21.74,46.67,43.75,,73.96,2.58,0.17,15.86,18.7,,
506333,O. Kökçü,Orkun Kökçü,24,2000-12-29,2000-12-29,NLD,Netherlands,NLD|TUR,Netherlands|Türkiye,Benfica,https://cdn5.wyscout.com/photos/team/public/158_120x120.png,d00202,Benfica,2028-06-30,27000000,1636,20,False,LDMF|LCMF3|LCMF,LDMF,LCMF3,LCMF,36,25,20,right,175,68,2,0.11,2,0.12,0,0.0,31,1.8,32.26,6.452,1.53,0.09,1.05,3,0.17,3.71,0.22,0.58,1.69,0.23,0.0,56.7,84.8,19.44,77.25,8.91,96.73,21.02,88.37,49.54,88.95,5.59,58.33,19.07,33.79,1.46,0.82,3.84,56.06,10.01,73.84,0.64,18.18,0.35,50.0,1.63,46.43,1.11,42.11,0.52,55.56,0.17,0.87,46.67,0.23,1.69,12.34,47.64,4.83,46.99,4.83,53.01,0.64,36.36,4.83,0.06,0.09,2.21,3.42,0.06,0.99,1.51,3,0.17,0,0.0,9.72,87.43,21.02,0,,0,,0,0.0,0.0,0.0,,,0.7,,,1.57,0.58,50.0,3.2,0,0.0,1.92,88.37,96.73,58.33,42.11,55.56,18.18,,87.43,1.92,0.7,19.07,33.79,,
-113150,Marcos Leonardo,Marcos Leonardo Santos Almeida,21,2003-05-02,2003-05-02,BRA,Brazil,BRA,Brazil,Al Hilal,https://cdn5.wyscout.com/photos/team/public/1214_120x120.png,0000FF,Al Hilal,2029-06-30,25000000,429,15,False,CF|AMF,CF,AMF,,82,17,0,right,177,71,6,1.26,5,1.05,1,0.21,20,4.2,65.0,30.0,4.35,0.91,5.24,0,0.0,0.02,0.0,0.0,0.42,0.0,0.0,9.86,53.19,2.52,50.0,1.47,85.71,3.36,68.75,9.02,58.14,0.0,0.0,16.25,0.0,0.42,0.0,1.05,40.0,0.42,0.0,0.42,0.0,0.42,0.0,0.84,0.0,0.42,0.0,0.42,0.0,0.0,2.1,40.0,0.0,1.05,14.48,30.43,7.13,35.29,2.1,40.0,2.31,27.27,1.68,0.21,0.35,0.63,1.05,0.0,1.68,1.05,1,0.21,0,0.0,0.84,50.0,3.36,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1,100.0,3.57,68.75,85.71,0.0,0.0,0.0,0.0,,50.0,3.57,0.0,16.25,0.0,,
433194,David Neres,David Neres Campos,27,1997-03-03,1997-03-03,BRA,Brazil,BRA,Brazil,Napoli,https://cdn5.wyscout.com/photos/team/public/83_120x120.png,4ea1e1,Napoli,2028-06-30,25000000,784,14,False,LAMF|RAMF,LAMF,RAMF,,54,23,0,left,175,66,4,0.46,4,0.46,1,0.11,15,1.72,53.33,26.667,3.51,0.4,4.25,4,0.46,2.65,0.3,0.8,1.38,0.23,0.0,38.57,83.93,5.51,77.08,12.17,96.23,10.56,85.87,33.98,89.53,1.26,63.64,16.19,28.38,1.84,1.26,2.98,65.38,2.3,90.0,0.34,33.33,0.57,40.0,3.79,36.36,2.18,36.84,1.26,36.36,0.92,7.12,56.45,1.03,3.56,18.94,45.45,13.09,47.37,3.33,58.62,0.34,0.0,4.71,0.11,0.18,2.64,4.08,0.11,0.8,0.57,1,0.11,0,0.0,2.76,87.5,10.56,0,,0,,0,0.0,0.0,0.0,,,0.23,,,0.23,0.0,0.0,1.26,0,0.0,6.54,85.87,96.23,63.64,36.84,36.36,33.33,,87.5,6.54,0.23,16.19,28.38,,
