id,name,full_name,age,birth_date,birth_day,birth_country_code,birth_country_name,passport_country_codes,passport_country_names,current_team_name,current_team_logo,current_team_color,last_club_name,contract_expires,market_value,minutes_on_field,total_matches,on_loan,positions,primary_position,secondary_position,third_position,primary_position_percent,secondary_position_percent,third_position_percent,foot,height,weight,goals,goals_avg,non_penalty_goal,non_penalty_goal_avg,head_goals,head_goals_avg,shots,shots_avg,shots_on_target_percent,goal_conversion_percent,xg_shot,xg_shot_avg,touch_in_box_avg,assists,assists_avg,xg_assist,xg_assist_avg,key_passes_avg,shot_assists_avg,pre_assist_avg,pre_pre_assist_avg,passes_avg,accurate_passes_percent,forward_passes_avg,successful_forward_passes_percent,back_passes_avg,successful_back_passes_percent,vertical_passes_avg,successful_vertical_passes_percent,short_medium_pass_avg,accurate_short_medium_pass_percent,long_passes_avg,successful_long_passes_percent,average_pass_length,average_long_pass_length,deep_completed_pass_avg,deep_completed_cross_avg,pass_to_penalty_area_avg,accurate_pass_to_penalty_area_percent,passes_to_final_third_avg,accurate_passes_to_final_third_percent,through_passes_avg,successful_through_passes_percent,smart_passes_avg,accurate_smart_passes_percent,crosses_avg,accurate_crosses_percent,cross_from_left_avg,successful_cross_from_left_percent,cross_from_right_avg,successful_cross_from_right_percent,cross_to_goalie_box_avg,dribbles_avg,successful_dribbles_percent,accelerations_avg,progressive_run_avg,duels_avg,duels_won,offensive_duels_avg,offensive_duels_won,defensive_duels_avg,defensive_duels_won,aerial_duels_avg,aerial_duels_won,successful_defensive_actions_avg,tackle_avg,possession_adjusted_tackle,interceptions_avg,possession_adjusted_interceptions,shot_block_avg,fouls_avg,foul_suffered_avg,yellow_cards,yellow_cards_avg,red_cards,red_cards_avg,progressive_pass_avg,successful_progressive_pass_percent,vertical_passes_avg,conceded_goals,conceded_goals_avg,shots_against,shots_against_avg,clean_sheets,save_percent,xg_save,xg_save_avg,prevented_goals,prevented_goals_avg,back_pass_to_gk_avg,goalkeeper_exits_avg,gk_aerial_duels_avg,free_kicks_taken_avg,direct_free_kicks_taken_avg,direct_free_kicks_on_target_percent,corners_taken_avg,penalties_taken,penalties_conversion_percent,successful_attacking_actions_avg,successful_vertical_passes_percent,successful_back_passes_percent,successful_long_passes_percent,successful_cross_from_left_percent,successful_cross_from_right_percent,successful_through_passes_percent,successful_smart_passes_percent,successful_progressive_pass_percent,successful_attacking_actions_avg,back_pass_to_gk_avg,average_pass_length,average_long_pass_length,prevented_goals,prevented_goals_avg
-532203,A. Hamdani,Adil Hamdani,16.0,2009-01-21,2009-01-21,FRA,France,FRA,France,Olympique Lyonnais U19,https://cdn5.wyscout.com/photos/team/public/g19645_120x120.png,13377c,Olympique Lyonnais U19,,0,10,1,False,RAMF,RAMF,,,100,0,0,unknown,0,0,0,,0,,0,,1,,,0.0,0.06,,,0,,0.0,,,,,,,,,,,,,,,,,,9.04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,9.04,0.0,,
-672356,B. Madjo,Brian Madjo,16.0,2009-01-12,2009-01-12,XEN,England,XEN|LUX,England|Luxembourg,Metz,https://cdn5.wyscout.com/photos/team/public/73_120x120.png,7a170f,Metz,,0,166,4,False,CF,CF,,,100,0,0,right,193,0,0,,0,,0,,3,,,0.0,0.49,,,0,,0.0,,,,,,,,,,,,,,,,,,8.16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.05,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,8.16,0.0,,
-689612,S. Zagadou,Stephan Zagadou,17.0,2008-10-24,2008-10-24,FRA,France,FRA,France,Le Havre,https://cdn5.wyscout.com/photos/team/public/556_120x120.png,0000FF,Le Havre,,0,67,1,False,RCB3|RB,RCB3,RB,,70,29,0,,0,0,0,,0,,0,,0,,,0.0,0.0,,,0,,0.0,,,,,,,,,,,,,,,,,,16.65,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,4.5,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,16.65,0.0,,
-328340,D. N'Guessan,Djylian N'Guessan,17.0,2008-08-30,2008-08-30,FRA,France,FRA,France,Saint-Étienne,https://cdn5.wyscout.com/photos/team/public/17_120x120.png,378341,Saint-Étienne,,0,214,8,False,CF|LWF|RWF,CF,LWF,RWF,35,31,28,unknown,0,0,0,,0,,0,,2,,,0.0,0.09,,,0,,0.06,,,,,,,,,,,,,,,,,,13.37,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.33,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,13.37,3.64,,
-310107,M. Jangeal,Mathis Jangeal,17.0,2008-06-24,2008-06-24,FRA,France,FRA,France,PSG U19,https://cdn5.wyscout.com/photos/team/public/g19593_120x120.png,173f69,PSG U19,,0,17,1,False,DMF,DMF,,,100,0,0,,0,0,0,,0,,0,,0,,,0.0,0.0,,,0,,0.0,,,,,,,,,,,,,,,,,,12.76,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,7.5,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,12.76,0.0,,
-626766,R. Matondo,Rudy Matondo,17.0,2008-03-13,2008-03-13,FRA,France,FRA|COD,France|Congo DR,Auxerre U19,https://cdn5.wyscout.com/photos/team/public/g19614_120x120.png,000000,Auxerre U19,,0,425,15,False,RCMF|RCMF3|AMF,RCMF,RCMF3,AMF,37,23,11,unknown,0,0,0,0.0,0,0.0,0,0.0,2,0.42,0.0,0.0,0.11,0.02,0.85,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.01,88.32,7.2,73.53,6.56,90.32,10.38,97.96,27.32,91.47,1.69,37.5,15.43,9.95,0.0,0.0,0.21,0.0,4.45,85.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.21,0.42,17.36,47.56,5.29,36.0,7.84,62.16,1.69,25.0,7.84,0.64,0.87,2.33,3.2,0.21,2.12,1.69,3,0.64,0,0.0,3.81,72.22,10.38,0,,0,,0,0.0,0.0,0.0,,,0.21,,,0.0,0.0,0.0,0.0,0,0.0,0.0,97.96,90.32,37.5,0.0,0.0,0.0,,72.22,0.0,0.21,15.43,9.95,,
-422255,A. Rodriguez,Alejandro Gomes Rodríguez,17.0,2008-03-11,2008-03-11,XEN,England,XEN|PRT,England|Portugal,Olympique Lyonnais,https://cdn5.wyscout.com/photos/team/public/16_120x120.png,13377c,Olympique Lyonnais,,0,26,1,False,AMF,AMF,,,100,0,0,,0,0,0,,0,,0,,0,,,0.0,0.0,,,0,,0.0,,,,,,,,,,,,,,,,,,68.57,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,68.57,0.0,,
-372772,A. Vossah,Alexis Vossah,17.0,2008-03-11,2008-03-11,FRA,France,FRA,France,Toulouse U19,https://cdn5.wyscout.com/photos/team/public/g19620_120x120.png,000000,Toulouse U19,,0,276,9,False,LCMF|RCMF,LCMF,RCMF,,81,18,0,unknown,0,0,1,,1,,0,,5,,,20.0,0.42,,,1,,0.16,,,,,,,,,,,,,,,,,,12.49,9.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,4.78,,,,1,,1,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,12.49,9.68,,
-310114,I. Mbaye,Ibrahim Mbaye,17.0,2008-01-24,2008-01-24,FRA,France,FRA|SEN,France|Senegal,PSG,https://cdn5.wyscout.com/photos/team/public/14_120x120.png,173f69,PSG,2027-06-30,0,871,15,False,RWF|LWF,RWF,LWF,,70,15,0,right,0,0,1,0.1,1,0.1,0,0.0,20,2.07,45.0,5.0,2.05,0.21,4.34,1,0.1,1.46,0.15,0.83,1.24,0.0,0.0,46.39,85.97,5.27,68.63,16.53,96.25,12.92,80.8,44.54,88.4,0.21,50.0,14.6,4.52,1.76,0.41,2.58,48.0,1.76,70.59,0.1,0.0,0.0,0.0,1.65,25.0,0.31,0.0,1.24,33.33,0.0,4.44,51.16,0.93,4.75,18.6,42.22,10.95,36.79,4.75,63.04,1.55,40.0,5.17,0.1,0.19,2.07,3.7,0.0,1.24,0.83,0,0.0,0,0.0,3.1,56.67,12.92,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,3.62,80.8,96.25,50.0,0.0,33.33,0.0,,56.67,3.62,0.0,14.6,4.52,,
-372742,M. Goffi,Maxima Goffi,17.0,2008-01-23,2008-01-23,FRA,France,FRA,France,Lille,https://cdn5.wyscout.com/photos/team/public/19_120x120.png,d13627,Lille,,0,47,1,False,RB,RB,,,100,0,0,unknown,0,0,0,,0,,0,,0,,,0.0,0.0,,,0,,0.0,,,,,,,,,,,,,,,,,,18.14,19.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,18.14,19.95,,
