id,name,full_name,age,birth_date,birth_day,birth_country_code,birth_country_name,passport_country_codes,passport_country_names,current_team_name,current_team_logo,current_team_color,last_club_name,contract_expires,market_value,minutes_on_field,total_matches,on_loan,positions,primary_position,secondary_position,third_position,primary_position_percent,secondary_position_percent,third_position_percent,foot,height,weight,goals,goals_avg,non_penalty_goal,non_penalty_goal_avg,head_goals,head_goals_avg,shots,shots_avg,shots_on_target_percent,goal_conversion_percent,xg_shot,xg_shot_avg,touch_in_box_avg,assists,assists_avg,xg_assist,xg_assist_avg,key_passes_avg,shot_assists_avg,pre_assist_avg,pre_pre_assist_avg,passes_avg,accurate_passes_percent,forward_passes_avg,successful_forward_passes_percent,back_passes_avg,successful_back_passes_percent,vertical_passes_avg,successful_vertical_passes_percent,short_medium_pass_avg,accurate_short_medium_pass_percent,long_passes_avg,successful_long_passes_percent,average_pass_length,average_long_pass_length,deep_completed_pass_avg,deep_completed_cross_avg,pass_to_penalty_area_avg,accurate_pass_to_penalty_area_percent,passes_to_final_third_avg,accurate_passes_to_final_third_percent,through_passes_avg,successful_through_passes_percent,smart_passes_avg,accurate_smart_passes_percent,crosses_avg,accurate_crosses_percent,cross_from_left_avg,successful_cross_from_left_percent,cross_from_right_avg,successful_cross_from_right_percent,cross_to_goalie_box_avg,dribbles_avg,successful_dribbles_percent,accelerations_avg,progressive_run_avg,duels_avg,duels_won,offensive_duels_avg,offensive_duels_won,defensive_duels_avg,defensive_duels_won,aerial_duels_avg,aerial_duels_won,successful_defensive_actions_avg,tackle_avg,possession_adjusted_tackle,interceptions_avg,possession_adjusted_interceptions,shot_block_avg,fouls_avg,foul_suffered_avg,yellow_cards,yellow_cards_avg,red_cards,red_cards_avg,progressive_pass_avg,successful_progressive_pass_percent,vertical_passes_avg,conceded_goals,conceded_goals_avg,shots_against,shots_against_avg,clean_sheets,save_percent,xg_save,xg_save_avg,prevented_goals,prevented_goals_avg,back_pass_to_gk_avg,goalkeeper_exits_avg,gk_aerial_duels_avg,free_kicks_taken_avg,direct_free_kicks_taken_avg,direct_free_kicks_on_target_percent,corners_taken_avg,penalties_taken,penalties_conversion_percent,successful_attacking_actions_avg,successful_vertical_passes_percent,successful_back_passes_percent,successful_long_passes_percent,successful_cross_from_left_percent,successful_cross_from_right_percent,successful_through_passes_percent,successful_smart_passes_percent,successful_progressive_pass_percent,successful_attacking_actions_avg,back_pass_to_gk_avg,average_pass_length,average_long_pass_length,prevented_goals,prevented_goals_avg
-509383,M. Dowman,Max Dowman,15,2009-12-31,2009-12-31,XEN,England,XEN,England,Arsenal U19,https://cdn5.wyscout.com/photos/team/public/g21611_120x120.png,ca2b1d,Arsenal U19,,0,41,2,False,RWF|RW,RWF,RW,,77,22,0,unknown,180,0,0,,0,,0,,3,,,0.0,0.38,,,0,,0.0,,,,,,,,,,,,,,,,,,15.15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,5.0,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,15.15,0.0,,
-562995,J. Monga,Jeremy Monga,16,2009-07-10,2009-07-10,XEN,England,XEN,England,Leicester City U18,https://cdn5.wyscout.com/photos/team/public/2261_120x120.png,2a429a,Leicester City U18,,0,151,7,False,LAMF|RAMF|AMF,LAMF,RAMF,AMF,35,31,18,unknown,0,0,0,,0,,0,,3,,,0.0,0.18,,,0,,0.01,,,,,,,,,,,,,,,,,,21.67,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.22,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,21.67,3.68,,
-395342,R. Ngumoha,Rio Ngumoha,17,2008-08-29,2008-08-29,XEN,England,XEN|NGA,England|Nigeria,Liverpool U19,https://cdn5.wyscout.com/photos/team/public/g20371_120x120.png,ca0f0f,Liverpool U19,2028-06-30,0,83,5,False,LW|LWB|LAMF,LW,LWB,LAMF,38,20,19,,0,0,1,,1,,0,,1,,,100.0,0.22,,,0,,0.14,,,,,,,,,,,,,,,,,,14.36,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,14.36,0.0,,
-338264,J. Evans,Jake Evans,17,2008-08-21,2008-08-21,XEN,England,XEN,England,Leicester City U18,https://cdn5.wyscout.com/photos/team/public/2261_120x120.png,2a429a,Leicester City U18,2027-06-30,0,37,4,False,RAMF|LAMF,RAMF,LAMF,,69,27,0,,0,0,0,,0,,0,,0,,,0.0,0.0,,,0,,0.0,,,,,,,,,,,,,,,,,,7.33,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,4.29,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,7.33,2.82,,
-367063,H. Howell,Harry Howell,17,2008-04-20,2008-04-20,XEN,England,XEN,England,Brighton U21,https://cdn5.wyscout.com/photos/team/public/g25587_120x120.png,255da6,Brighton U21,,0,14,1,False,RW,RW,,,100,0,0,left,0,0,0,,0,,0,,0,,,0.0,0.0,,,0,,0.0,,,,,,,,,,,,,,,,,,15.34,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,0.0,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,15.34,0.0,,
-367058,B. Burrowes,Bradley-Paul Burrowes,17,2008-03-04,2008-03-04,XEN,England,XEN,England,Aston Villa U18,https://cdn5.wyscout.com/photos/team/public/2394_120x120.png,821837,Aston Villa U18,2026-06-30,0,24,1,False,RW,RW,,,100,0,0,unknown,0,0,0,,0,,0,,0,,,0.0,0.0,,,0,,0.0,,,,,,,,,,,,,,,,,,40.39,65.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,7.5,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,40.39,65.71,,
-378409,C. Obi,Chidozie Obi-Martin,17,2007-11-29,2007-11-29,DNK,Denmark,DNK|NGA,Denmark|Nigeria,Manchester United U21,https://cdn5.wyscout.com/photos/team/public/g22513_120x120.png,de3023,Manchester United U21,,0,218,7,False,CF,CF,,,98,0,0,right,188,68,0,,0,,0,,5,,,0.0,1.0,,,0,,0.0,,,,,,,,,,,,,,,,,,11.78,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.5,,,,1,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,11.78,6.0,,
-367127,S. Mheuka,Shumaira Mheuka,18,2007-10-20,2007-10-20,XEN,England,XEN|ZIM,England|Zimbabwe,Chelsea U21,https://cdn5.wyscout.com/photos/team/public/g22520_120x120.png,004592,Chelsea U21,2027-06-30,0,5,1,False,RDMF,RDMF,,,100,0,0,right,182,73,0,,0,,0,,1,,,0.0,0.05,,,0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,0.0,0.0,,
-558625,M. Mane,Mateus Mane,18,2007-09-16,2007-09-16,XEN,England,XEN,England,Wolverhampton Wanderers,https://cdn5.wyscout.com/photos/team/public/319_120x120.png,000000,Wolverhampton Wanderers,,0,32,2,False,CF|RCMF,CF,RCMF,,77,22,0,unknown,0,0,0,,0,,0,,0,,,0.0,0.0,,,0,,0.0,,,,,,,,,,,,,,,,,,14.89,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,3.33,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,14.89,0.0,,
-337676,M. Moore,Mikey Moore,18,2007-08-11,2007-08-11,XEN,England,XEN,England,Rangers,https://cdn5.wyscout.com/photos/team/public/295_120x120.png,001af2,Rangers,,0,306,6,True,RAMF|LWF|RWF,RAMF,LWF,RWF,43,37,11,right,180,68,0,,0,,0,,3,,,0.0,0.53,,,1,,0.47,,,,,,,,,,,,,,,,,,20.46,6.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.56,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,20.46,6.77,,
