id,name,full_name,age,birth_date,birth_day,birth_country_code,birth_country_name,passport_country_codes,passport_country_names,current_team_name,current_team_logo,current_team_color,last_club_name,contract_expires,market_value,minutes_on_field,total_matches,on_loan,positions,primary_position,secondary_position,third_position,primary_position_percent,secondary_position_percent,third_position_percent,foot,height,weight,goals,goals_avg,non_penalty_goal,non_penalty_goal_avg,head_goals,head_goals_avg,shots,shots_avg,shots_on_target_percent,goal_conversion_percent,xg_shot,xg_shot_avg,touch_in_box_avg,assists,assists_avg,xg_assist,xg_assist_avg,key_passes_avg,shot_assists_avg,pre_assist_avg,pre_pre_assist_avg,passes_avg,accurate_passes_percent,forward_passes_avg,successful_forward_passes_percent,back_passes_avg,successful_back_passes_percent,vertical_passes_avg,successful_vertical_passes_percent,short_medium_pass_avg,accurate_short_medium_pass_percent,long_passes_avg,successful_long_passes_percent,average_pass_length,average_long_pass_length,deep_completed_pass_avg,deep_completed_cross_avg,pass_to_penalty_area_avg,accurate_pass_to_penalty_area_percent,passes_to_final_third_avg,accurate_passes_to_final_third_percent,through_passes_avg,successful_through_passes_percent,smart_passes_avg,accurate_smart_passes_percent,crosses_avg,accurate_crosses_percent,cross_from_left_avg,successful_cross_from_left_percent,cross_from_right_avg,successful_cross_from_right_percent,cross_to_goalie_box_avg,dribbles_avg,successful_dribbles_percent,accelerations_avg,progressive_run_avg,duels_avg,duels_won,offensive_duels_avg,offensive_duels_won,defensive_duels_avg,defensive_duels_won,aerial_duels_avg,aerial_duels_won,successful_defensive_actions_avg,tackle_avg,possession_adjusted_tackle,interceptions_avg,possession_adjusted_interceptions,shot_block_avg,fouls_avg,foul_suffered_avg,yellow_cards,yellow_cards_avg,red_cards,red_cards_avg,progressive_pass_avg,successful_progressive_pass_percent,vertical_passes_avg,conceded_goals,conceded_goals_avg,shots_against,shots_against_avg,clean_sheets,save_percent,xg_save,xg_save_avg,prevented_goals,prevented_goals_avg,back_pass_to_gk_avg,goalkeeper_exits_avg,gk_aerial_duels_avg,free_kicks_taken_avg,direct_free_kicks_taken_avg,direct_free_kicks_on_target_percent,corners_taken_avg,penalties_taken,penalties_conversion_percent,successful_attacking_actions_avg,successful_vertical_passes_percent,successful_back_passes_percent,successful_long_passes_percent,successful_cross_from_left_percent,successful_cross_from_right_percent,successful_through_passes_percent,successful_smart_passes_percent,successful_progressive_pass_percent,successful_attacking_actions_avg,back_pass_to_gk_avg,average_pass_length,average_long_pass_length,prevented_goals,prevented_goals_avg
-668083,A. Felli,Alessandro Felli,13,2011-01-01,2011-01-01,ITA,Italy,ITA,Italy,Cagliari U14,https://cdn5.wyscout.com/photos/team/public/g-15314_120x120.png,000000,Cagliari U14,,0,9,1,False,LAMF,LAMF,,,100,0,0,unknown,0,0,0,,0,,0,,1,,,0.0,0.15,,,0,,0.0,,,,,,,,,,,,,,,,,,12.89,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,12.89,0.0,,
-375576,M. Palma,Matteo Palma,17,2008-03-13,2008-03-13,DEU,Germany,DEU,Germany,Udinese U19,https://cdn5.wyscout.com/photos/team/public/1780_120x120.png,000000,Udinese U19,,0,118,4,False,RCB3,RCB3,,,92,0,0,right,194,0,0,,0,,0,,0,,,0.0,0.0,,,0,,0.0,,,,,,,,,,,,,,,,,,19.18,16.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.65,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,19.18,16.17,,
-296651,F. Camarda,Francesco Camarda,17,2008-03-10,2008-03-10,ITA,Italy,ITA,Italy,Lecce,https://cdn5.wyscout.com/photos/team/public/187_120x120.png,000000,Lecce,,0,618,20,True,CF,CF,,,88,0,0,right,184,74,1,0.15,1,0.15,1,0.15,14,2.04,21.43,7.143,2.62,0.38,2.04,0,0.0,0.22,0.03,0.44,0.29,0.0,0.0,9.9,82.35,2.48,70.59,2.04,100.0,3.06,90.48,9.17,84.13,0.44,66.67,12.71,4.51,0.15,0.15,0.29,100.0,0.58,75.0,0.0,0.0,0.0,0.0,0.29,50.0,0.15,100.0,0.15,0.0,0.0,1.46,40.0,0.0,0.29,20.53,31.91,6.7,28.26,4.08,50.0,5.97,31.71,2.91,0.15,0.19,0.73,0.93,0.0,1.89,0.44,1,0.15,0,0.0,1.31,55.56,3.06,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1,0.0,1.17,90.48,100.0,66.67,100.0,0.0,0.0,,55.56,1.17,0.0,12.71,4.51,,
-310397,T. Campaniello,Thomas Campaniello,17,2008-02-29,2008-02-29,ITA,Italy,ITA|POL,Italy|Poland,Empoli U20,https://cdn5.wyscout.com/photos/team/public/g-21959_120x120.png,000000,Empoli U20,,0,34,3,False,CF|RCB3|LW,CF,RCB3,LW,58,24,17,right,0,0,0,,0,,0,,1,,,0.0,0.34,,,0,,0.0,,,,,,,,,,,,,,,,,,17.92,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,17.92,0.0,,
-303133,H. Ahanor,Honest Ahanor,17,2008-02-23,2008-02-23,ITA,Italy,ITA|NGA,Italy|Nigeria,Atalanta,https://cdn5.wyscout.com/photos/team/public/74_120x120.png,1f4d96,Atalanta,2027-06-30,0,748,11,False,LCB3|LB,LCB3,LB,,73,11,0,left,184,73,0,0.0,0,0.0,0,0.0,6,0.72,16.67,0.0,0.73,0.09,1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.95,88.25,13.6,75.22,5.78,97.92,13.6,95.58,37.66,90.1,1.93,50.0,16.11,16.84,0.24,0.24,0.6,60.0,3.25,74.07,0.0,0.0,0.0,0.0,0.36,100.0,0.36,100.0,0.0,0.0,0.0,0.6,60.0,0.12,1.32,17.21,56.64,3.73,54.84,6.98,72.41,3.73,38.71,10.59,0.24,0.28,5.29,6.14,0.48,0.72,1.8,0,0.0,0,0.0,4.33,58.33,13.6,0,,0,,0,0.0,0.0,0.0,,,1.56,,,0.0,0.0,0.0,0.12,0,0.0,0.84,95.58,97.92,50.0,100.0,0.0,0.0,,58.33,0.84,1.56,16.11,16.84,,
-197382,L. Buffon,Louis Thomas Buffon,17,2007-12-28,2007-12-28,ITA,Italy,ITA,Italy,Pisa,https://cdn5.wyscout.com/photos/team/public/189_120x120.png,0000ff,Pisa,,0,13,1,False,CF,CF,,,100,0,0,right,0,0,0,,0,,0,,0,,,0.0,0.0,,,0,,0.0,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,5.0,0.0,,
-327298,M. Pessina,Massimo Pessina,17,2007-12-25,2007-12-25,ITA,Italy,ITA,Italy,Bologna,https://cdn5.wyscout.com/photos/team/public/174_120x120.png,ee3c46,Bologna,2026-06-30,0,92,1,False,GK,GK,,,100,0,0,right,0,0,0,,0,,0,,0,,,0.0,0.0,,,0,,0.0,,,,,,,,,,,,,,,,,,35.28,44.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.11,,,,0,,0,,,,,0,,1,,1,100.0,0.04,,0.04,,,,,,,,,0,0.0,,,,,,,,,,,,35.28,44.27,0.04,
-303448,A. Cacciamani,Alessio Cacciamani,17,2007-06-29,2007-06-29,ITA,Italy,ITA,Italy,Torino U20,https://cdn5.wyscout.com/photos/team/public/g-21957_120x120.png,000000,Torino U20,,0,38,2,False,RW|RB,RW,RB,,62,37,0,unknown,0,0,0,,0,,0,,0,,,0.0,0.0,,,0,,0.0,,,,,,,,,,,,,,,,,,25.49,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,4.29,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,25.49,0.0,,
-296652,M. Liberali,Mattia Liberali,18,2007-04-06,2007-04-06,ITA,Italy,ITA,Italy,Catanzaro,https://cdn5.wyscout.com/photos/team/public/411_120x120.png,ff0000,Catanzaro,,0,63,1,False,AMF,AMF,,,100,0,0,left,169,0,0,,0,,0,,2,,,0.0,0.19,,,0,,0.02,,,,,,,,,,,,,,,,,,16.2,35.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0,,0,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,,16.2,35.78,,
-144286,G. Leoni,Giovanni Leoni,18,2006-12-21,2006-12-21,ITA,Italy,ITA,Italy,Liverpool,https://cdn5.wyscout.com/photos/team/public/24_120x120.png,ca0f0f,Liverpool,2027-06-30,0,1281,17,False,RCB|CB|LCB,RCB,CB,LCB,33,27,18,right,196,77,1,0.07,1,0.07,1,0.07,2,0.14,50.0,50.0,0.33,0.02,0.28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,88.07,14.61,74.52,3.16,91.11,21.22,95.7,39.41,92.69,3.37,39.58,20.6,36.35,0.0,0.0,0.63,0.0,3.65,51.92,0.35,20.0,0.0,0.0,0.21,0.0,0.0,0.0,0.21,0.0,0.0,0.14,50.0,0.0,0.21,10.47,62.42,0.91,38.46,5.2,68.92,2.18,64.52,8.5,0.14,0.17,4.78,5.68,0.77,0.77,0.56,3,0.21,1,0.07,4.92,57.14,21.22,0,,0,,0,0.0,0.0,0.0,,,2.11,,,0.0,0.0,0.0,0.0,0,0.0,0.14,95.7,91.11,39.58,0.0,0.0,20.0,,57.14,0.14,2.11,20.6,36.35,,
